ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-78407,2706,ZELENA JAMA,LJUBLJANA,1575/12,3,,,1/1,,81,,,,,2007,61
-78407,2706,ZELENA JAMA,LJUBLJANA,1575/2,3,,,1/1,,3504,,,,,2007,61
-78407,2706,ZELENA JAMA,LJUBLJANA,1575/11,3,,,1/1,,891,,,,,2007,61
-78406,1735,STOŽICE,LJUBLJANA,806,5,,,1/1,,954,,,,,2007,61
-78374,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,201/8,7,,,NP,,172,,,461261.99,100320.1,2007,61
-78374,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,201/31,3,,,NP,,264,,,461255.21,100337.17,2007,61
-78157,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,191,10,,,1/1,dvorišče v izmeri 195 m2,341,,,459391.87,106416.85,2007,61
-78157,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,194,7,,,1/1,,1167,,,459416.28,106485.25,2007,61
-78157,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,192/4,8,,,1/1,zemljišče se uporablja za sadovnjak,1342,,,459391.13,106444.72,2007,61
-78157,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,193/3,10,,,1/1,zemljišče je travnik,87,,,459406.8,106512.41,2007,61
-78157,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,191,5,,,1/1,"poleg stavbe so evidentirani še dvorišče, njiva, travnik in sadovnjak",146,,,,,2007,61
-78144,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1152/2,3,,,1/1,,35,,,458334.96,104877.93,2007,61
-78144,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1152/3,3,,,1/1,,23,,,458334.74,104889.87,2007,61
-78144,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1152/1,5,,,1/1,,640,,,,,2007,61
-78072,2636,BEŽIGRAD,LJUBLJANA,1796/88,10,,,1/1,,33,,,462489.76,102740.65,2007,61
-78063,2636,BEŽIGRAD,LJUBLJANA,623/3,5,,,1/1,,371,,,,,2007,61
-78016,1723,VIČ,LJUBLJANA,1149/6,5,,,1/1,,148,,,,,2007,61
-78016,1723,VIČ,LJUBLJANA,1149/11,5,,,1/1,,14,,,,,2007,61
-77996,1735,STOŽICE,LJUBLJANA,1133/14,5,,,1/1,,295,,,,,2007,61
-77834,1746,RAŠICA,LJUBLJANA,46/3,9,,,1/1,,265,,,462353.62,110787.46,2007,61
-77834,1746,RAŠICA,LJUBLJANA,46/3,5,,,1/1,,23,,,,,2007,61
-77773,1739,ZGORNJA ŠIŠKA,LJUBLJANA,362/1,5,,,1/1,,783,,,,,2007,61
-77764,1733,BIZOVIK,LJUBLJANA,520/1,5,,,1/1,,1324,,,,,2007,61
-77764,1733,BIZOVIK,LJUBLJANA,520/2,5,,,1/1,,447,,,,,2007,61
-77764,1733,BIZOVIK,LJUBLJANA,520/3,5,,,1/1,,188,,,,,2007,61
-77730,1740,SPODNJA ŠIŠKA,LJUBLJANA,1149/2,3,,,1/1,,328,,,461156.72,102800.45,2007,61
-77730,1740,SPODNJA ŠIŠKA,LJUBLJANA,1149/2,5,,,1/1,,328,,,,,2007,61
-77727,1740,SPODNJA ŠIŠKA,LJUBLJANA,1145/9,3,,,NP,,334,,,461080.05,102774.32,2007,61
-77727,1740,SPODNJA ŠIŠKA,LJUBLJANA,1145/9,5,,,NP,,334,,,,,2007,61
-77710,2679,GRADIŠČE II,LJUBLJANA,92/13,10,,,1/1,,207,,,460292.12,101067.64,2007,61
-77710,2679,GRADIŠČE II,LJUBLJANA,92/13,5,,,1/1,,164,,,,,2007,61
-77695,2636,BEŽIGRAD,LJUBLJANA,338/2,3,,,1/1,,267,,,461921.35,103552.17,2007,61
-77695,2636,BEŽIGRAD,LJUBLJANA,338/2,5,,,1/1,,70,,,,,2007,61
-77670,1982,ŠUJICA,LJUBLJANA,1028/7,3,,,1/1,,739,,,454073.34,103499.61,2007,61
-57816,1730,MOSTE,LJUBLJANA,127/378,5,,,774/20000,,248,,,,,2007,61
-57816,1730,MOSTE,LJUBLJANA,127/379,5,,,774/20000,,119,,,,,2007,61
-57812,1753,VIŽMARJE,LJUBLJANA,113/29,10,,,1/1,,47,,,458349.71,108323.23,2007,61
-57656,1738,DRAVLJE,LJUBLJANA,1372,10,,,1/1,,2088,,,458264.94,103834.18,2007,61
-57530,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,414/38,3,,,1/1,,373,,,460125.01,99447.45,2007,61
-57530,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,414/83,3,,,1/1,,16,,,460181.09,99462.43,2007,61
-57519,1735,STOŽICE,LJUBLJANA,650/1,3,,,1/1,,1183,,,,,2007,61
-57514,1739,ZGORNJA ŠIŠKA,LJUBLJANA,230/5,3,,,1/1,,4292,,,460102.35,104008.07,2007,61
-57514,1739,ZGORNJA ŠIŠKA,LJUBLJANA,230/7,3,,,1/1,,4,,,,,2007,61
-57514,1739,ZGORNJA ŠIŠKA,LJUBLJANA,230/6,3,,,1/1,,1277,,,,,2007,61
-57377,1733,BIZOVIK,LJUBLJANA,456/12,5,,,1/1,,192,,,,,2007,61
-57342,1738,DRAVLJE,LJUBLJANA,1372,9,,,1/1,,2088,,,458264.94,103834.18,2007,61
-57177,1735,STOŽICE,LJUBLJANA,1133/5,5,,,1/1,,311,,,,,2007,61
-56999,1723,VIČ,LJUBLJANA,415/7,5,,,1/2,,105,,,,,2007,61
-56833,1772,SLAPE,LJUBLJANA,721/8,3,,,1/9,,868,,,467874.75,101698.84,2007,61
-56756,1994,DOBROVA,LJUBLJANA,2024/41,7,,,4/4,,292,,,457979.43,99970.83,2007,61
-56563,1755,GLINCE,LJUBLJANA,595/9,10,,,1/1,,58,,,457902.76,104527.26,2007,61
-56563,1755,GLINCE,LJUBLJANA,595/4,5,,,1/1,,590,,,,,2007,61
-56452,2679,GRADIŠČE II,LJUBLJANA,108/25,3,,,1/1,,836,,,460494.66,101027.83,2007,61
-56452,2679,GRADIŠČE II,LJUBLJANA,*383,5,,,1/1,,150,,,,,2007,61
-56451,2679,GRADIŠČE II,LJUBLJANA,108/25,3,,,1/1,,836,,,460494.66,101027.83,2007,61
-56451,2679,GRADIŠČE II,LJUBLJANA,383,5,,,1/1,,150,,,,,2007,61
-56347,2636,BEŽIGRAD,LJUBLJANA,1409/36,10,,,1/1,,56,,,463262.8,102888.96,2007,61
-56346,1740,SPODNJA ŠIŠKA,LJUBLJANA,847/3,5,,,1/1,,178,,,,,2007,61
-56345,1756,ČRNUČE,LJUBLJANA,224/3,5,,,1/1,,517,,,,,2007,61
-56344,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,360/6,3,,,1/1,,310,,,462282.42,98862.1,2007,61
-56344,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,360/5,3,,,1/4,,15,,,462276.15,98873.56,2007,61
-56344,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,360/3,3,,,1/6,,255,,,462304.83,98861.41,2007,61
-56241,2636,BEŽIGRAD,LJUBLJANA,1763/91,3,,,1/1,,3397,,,462548.72,102599.02,2007,61
-56240,1741,VODICE,LJUBLJANA,1270/40,3,,,1/1,,539,,,460470.24,116435.31,2007,61
-56237,1737,TABOR,LJUBLJANA,3321,3,,,1/10,,150,,,462545.47,101625.18,2007,61
-56230,1753,VIŽMARJE,LJUBLJANA,297/107,3,,,1/1,,9,,,,,2007,61
-56230,1753,VIŽMARJE,LJUBLJANA,297/110,3,,,1/1,,39,,,,,2007,61
-56230,1753,VIŽMARJE,LJUBLJANA,297/87,3,,,1/1,,668,,,,,2007,61
-56229,1974,ZGORNJE PIRNIČE,LJUBLJANA,829/26,3,,,1/1,,451,,,454971.39,111768.92,2007,61
-56229,1974,ZGORNJE PIRNIČE,LJUBLJANA,829/12,3,,,1/1,,312,,,454969.57,111790.11,2007,61
-56218,1755,GLINCE,LJUBLJANA,695,5,,,1/1,,154,,,,,2007,61
-56217,1994,DOBROVA,LJUBLJANA,2048/32,5,,,1/2,,553,,,,,2007,61
-56187,1736,BRINJE I,LJUBLJANA,50/14,5,,,1/1,,45,,,,,2007,61
-56143,1753,VIŽMARJE,LJUBLJANA,997/7,5,,,1/1,,169,,,,,2007,61
-54454,1727,POLJANSKO PREDMESTJE,LJUBLJANA,214/1,5,,,1/1,,93,,,,,2007,61
-53829,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,199/75,5,,,1/1,,215,,,,,2007,61
