ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
-12890,1,09.02.2007,06.03.2007,155000,0,,,,,,23.07.2015,09.02.2007,1,4,2007,61
-15216,1,27.03.2007,16.03.2007,4373.33,0,,,,,,23.07.2015,27.03.2007,1,4,2007,61
-13536,1,27.02.2007,20.02.2007,80000,0,,,,,,23.07.2015,27.02.2007,1,4,2007,61
-15174,1,23.03.2007,12.02.2007,124000,0,,,,,,23.07.2015,23.03.2007,1,4,2007,61
-14259,1,13.03.2007,21.02.2007,125187.78,0,,,,stavba ni etažno urejena,,23.07.2015,13.03.2007,1,4,2007,61
-13427,1,26.02.2007,20.02.2007,29210,0,,,,,,23.07.2015,26.02.2007,1,4,2007,61
-15762,1,06.04.2007,01.03.2007,187781.67,0,,,,,,23.07.2015,06.04.2007,1,4,2007,61
-15767,1,06.04.2007,02.03.2007,125217,0,,,,,,23.07.2015,06.04.2007,1,4,2007,61
-15773,1,06.04.2007,25.01.2007,171089.96,0,,,,,,23.07.2015,06.04.2007,1,4,2007,61
-15780,1,06.04.2007,23.03.2007,108496.08,0,,,,,,23.07.2015,06.04.2007,1,4,2007,61
-13146,1,15.02.2007,10.01.2007,191000,0,,,,,,23.07.2015,15.02.2007,1,4,2007,61
-13147,1,15.02.2007,07.02.2007,4798864.96,0,,,,,,23.07.2015,15.02.2007,1,4,2007,61
-13288,1,21.02.2007,24.01.2007,129360.7,0,,,,,,23.07.2015,21.02.2007,1,4,2007,61
-13830,1,02.03.2007,18.01.2007,131447.17,0,,,,,,23.07.2015,02.03.2007,1,4,2007,61
-13677,1,01.03.2007,23.02.2007,108500,0,,,,stanovanje v Jaršah,,23.07.2015,01.03.2007,1,4,2007,61
-13820,1,02.03.2007,19.02.2007,4970000,0,,,,,,23.07.2015,02.03.2007,1,4,2007,61
-13825,1,02.03.2007,26.02.2007,305000,0,,,,,,23.07.2015,02.03.2007,1,4,2007,61
-14224,1,12.03.2007,12.01.2007,123101.32,0,,,,,,23.07.2015,12.03.2007,1,4,2007,61
-14511,1,14.03.2007,01.02.2007,100150,0,,,,,,23.07.2015,14.03.2007,1,4,2007,61
-15001,1,21.03.2007,10.03.2007,188550.46,0,,,,,,23.07.2015,21.03.2007,1,4,2007,61
-15343,1,28.03.2007,23.02.2007,200000,0,,,,,,23.07.2015,28.03.2007,1,4,2007,61
-13030,1,15.02.2007,05.02.2007,102236,0,,,,,,23.07.2015,15.02.2007,1,4,2007,61
-13099,1,15.02.2007,08.01.2007,953995,0,,,,,,23.07.2015,15.02.2007,1,4,2007,61
-15499,1,02.04.2007,08.03.2007,402000,0,,,,notarski zapis,,23.07.2015,02.04.2007,1,4,2007,61
-15500,1,02.04.2007,08.03.2007,357300,0,,,,notarski zapis,,23.07.2015,02.04.2007,1,4,2007,61
