ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
244000,2636,BEŽIGRAD,LJUBLJANA,249/2,5,,,35/100,,254,,,462310.82,103474.52,2017,61
244000,2636,BEŽIGRAD,LJUBLJANA,245/1,5,,,35/100,,897,,,462335.23,103477.82,2017,61
244000,2636,BEŽIGRAD,LJUBLJANA,251/5,5,,,35/100,,910,,,462328.71,103492.06,2017,61
244493,2678,GOLOVEC,LJUBLJANA,118/71,5,,,1/1,,367,,,462858.16,100577.23,2017,61
244493,2678,GOLOVEC,LJUBLJANA,118/62,5,,,1/1,,129,,,462863.55,100586.65,2017,61
244493,2678,GOLOVEC,LJUBLJANA,118/270,5,,,1/1,,338,,,462848.06,100577.35,2017,61
258553,1696,RUDNIK,LJUBLJANA,2389/53,5,,,1/1,,260,,,464121.26,98933.47,2017,61
267122,1994,DOBROVA,LJUBLJANA,1619/23,5,,,1/1,,238,,,456877,100849.1,2017,61
274031,1770,KAŠELJ,LJUBLJANA,2101/190,5,,,1/1,,42,,,469316.73,100987.36,2017,61
277236,1730,MOSTE,LJUBLJANA,1207/11,6,,,1/1,,1240,,,464285.97,103183.87,2017,61
277236,1730,MOSTE,LJUBLJANA,241/9,6,,,1/1,,1,,,464296.11,103137.88,2017,61
277236,1730,MOSTE,LJUBLJANA,187/4,6,,,1/1,,38,,,464409.18,103092.42,2017,61
277236,1730,MOSTE,LJUBLJANA,1207/12,6,,,1/1,,7,,,464305.56,103153.93,2017,61
277236,1730,MOSTE,LJUBLJANA,187/54,6,,,1/1,,475,,,464311.54,103123.57,2017,61
287006,1723,VIČ,LJUBLJANA,2004/34,3,,,1/1,,395,,,458406.94,99470.13,2017,61
287184,1770,KAŠELJ,LJUBLJANA,2242/8,1,,,1/1,,1171,,,468392.49,101199.19,2017,61
287184,1770,KAŠELJ,LJUBLJANA,2250/77,1,,,1/1,,451,,,468400.5,101180.78,2017,61
288444,1772,SLAPE,LJUBLJANA,1353/5,5,,,1/1,,1043,,,467883.81,101337.24,2017,61
288444,1772,SLAPE,LJUBLJANA,1353/6,5,,,1/1,,59,,,467871.42,101339.33,2017,61
294287,1756,ČRNUČE,LJUBLJANA,1055/1,3,,,1/1,,2021,,,464610.87,106794.1,2017,61
294287,1756,ČRNUČE,LJUBLJANA,1056/1,3,,,1/1,,3480,,,464616.1,106772.67,2017,61
294287,1756,ČRNUČE,LJUBLJANA,1057/1,3,,,1/1,,1625,,,464685.19,106806.13,2017,61
294287,1756,ČRNUČE,LJUBLJANA,1057/2,3,,,1/1,,652,,,464684.62,106828.12,2017,61
294287,1756,ČRNUČE,LJUBLJANA,1058/1,3,,,1/1,,3484,,,464575.65,106834.65,2017,61
294287,1756,ČRNUČE,LJUBLJANA,1058/2,3,,,1/1,,358,,,464603.67,106859.76,2017,61
294287,1756,ČRNUČE,LJUBLJANA,1072/1,3,,,1/1,,957,,,464612.08,106869.53,2017,61
294287,1756,ČRNUČE,LJUBLJANA,1072/2,3,,,1/1,,3,,,464632.81,106842.91,2017,61
