ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
141701,1737,TABOR,LJUBLJANA,225,17,,,1,LJUBLJANA,KOTNIKOVA ULICA,21,,1,2,1938,1,,,44,1/1,,,,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,klet,1,51.8,44.6, Drvarnica,,,462347.77,101937.11,2017,61
253584,1772,SLAPE,LJUBLJANA,1744,109,,,1,LJUBLJANA,PREGLOV TRG,6,,109,2,1984,1,,,38,1/1,,,10,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,37.6,28.8," Klet, shramba | Odprt balkon",,,465967.69,101584.83,2017,61
261633,1726,ŠENTPETER,LJUBLJANA,1328,74,,,1,,,,,,3,2011,1,,1,12.7,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,12.7,12.7,-,,,462868.39,101884.36,2017,61
267122,1994,DOBROVA,LJUBLJANA,7,1,,,1,,,,,,1,1976,1,,,168,1/1,,,,1,,,,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",pritličje,5,168.4,91.1," Garaža | Klet, shramba | Kurilnica | Odprt balkon | Stopnišče",,,456874.83,100851.55,2017,61
258553,1696,RUDNIK,LJUBLJANA,227,1,,,1,LJUBLJANA,GORNJI RUDNIK II,5,,,1,1938,1,,,65,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,2,65,65,-,,,464119.86,98928.72,2017,61
244000,2636,BEŽIGRAD,LJUBLJANA,1079,2,,,1,,,,,2,15,1971,1,,,239,35/100,,,,,,,,1263003 - Prostor za znanstvenoraziskovalno delo,pritličje,,239.4,239.4,-,,,462334.93,103478.16,2017,61
243220,1721,GRADIŠČE I,LJUBLJANA,222,6,,,1,LJUBLJANA,BORŠTNIKOV TRG,1,,6,2,1860,1,,,14,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,14.1,14.1,-,,,461199.95,101027.41,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,12,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,10,5,2009,1,,,31,1/1,,,2,,,,,1264001 - Prostor za zdravstvo,nadstropje,,30.6,30.6,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,4,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,2,5,2009,1,,,26,1/1,,,1,,,,,1264001 - Prostor za zdravstvo,nadstropje,,26,26,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,11,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,9,5,2009,1,,,26,1/1,,,2,,,,,1264001 - Prostor za zdravstvo,nadstropje,,26,26,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,3,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,1,5,2009,1,,,27,1/1,,,1,,,,,1264001 - Prostor za zdravstvo,nadstropje,,27.2,27.2,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,13,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,11,5,2009,1,,,25,1/1,,,2,,,,,1264001 - Prostor za zdravstvo,nadstropje,,25.3,25.3,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,5,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,3,5,2009,1,,,31,1/1,,,1,,,,,1264001 - Prostor za zdravstvo,nadstropje,,30.6,30.6,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,9,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,7,5,2009,1,,,28,1/1,,,2,,,,,1264001 - Prostor za zdravstvo,nadstropje,,27.9,27.9,-,,,462844.46,100575.44,2017,61
244143,1737,TABOR,LJUBLJANA,1911,4,,,1,LJUBLJANA,PRAŽAKOVA ULICA,6,,6,2,1962,1,,,55,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,55.1,53.7,-,,,461901.23,101946.91,2017,61
244157,1737,TABOR,LJUBLJANA,300,4,,,1,LJUBLJANA,SLOMŠKOVA ULICA,11,,5,8,1968,1,,,24,1/1,,,,,,,,1220301 - Poslovni prostori,pritličje,,24,24,-,,,462224.61,101894.2,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,6,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,4,5,2009,1,,,15,1/1,,,1,,,,,1264001 - Prostor za zdravstvo,nadstropje,,15.4,15.4,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,1,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,,5,2009,1,,,303,1/1,,,,,,,,"1274020 - Stopnišče, hodnik",pritličje,,303.2,303.2,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,7,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,5,5,2009,1,,,16,1/1,,,2,,,,,1264001 - Prostor za zdravstvo,nadstropje,,15.5,15.5,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,2,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,,5,2009,1,,,254,1/1,,,,,,,,1264001 - Prostor za zdravstvo,pritličje,,253.9,163.6,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,8,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,6,5,2009,1,,,26,1/1,,,2,,,,,1264001 - Prostor za zdravstvo,nadstropje,,25.5,25.5,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,10,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,8,5,2009,1,,,27,1/1,,,2,,,,,1264001 - Prostor za zdravstvo,nadstropje,,26.9,26.9,-,,,462844.46,100575.44,2017,61
244493,2678,GOLOVEC,LJUBLJANA,175,14,,,1,LJUBLJANA,HRADECKEGA CESTA,20,,12,5,2009,1,,,29,1/1,,,2,,,,,1264001 - Prostor za zdravstvo,nadstropje,,28.9,28.9,-,,,462844.46,100575.44,2017,61
261630,1726,ŠENTPETER,LJUBLJANA,1328,135,,,1,,,,,,3,2011,1,,1,12,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,12,12,-,,,462868.39,101884.36,2017,61
303187,1738,DRAVLJE,LJUBLJANA,245,1,,,1,LJUBLJANA,ČEBELARSKA ULICA,23,,,1,1960,1,,,175,1/26,,,,2,,,,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",drugo,6,175.3,106.9, Kurilnica | Nedokončani prostori | Podstrešje | Stopnišče,,,458753.27,104566.67,2017,61
