ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
542373,1734,JEŽICA,LJUBLJANA,1287,49,,,1,LJUBLJANA,GLINŠKOVA PLOŠČAD,11,,25,2,1980,1,,,40,1/1,,,,,,,,2 - Stanovanje,nadstropje,,40.2,35.3," bivalni prostor | odprta terasa, balkon, loža",,,461998.73,105868.22,2021,61
549948,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,4651,29,,,1,LJUBLJANA,DOLENJSKA CESTA,138,A,29,2,2006,1,,,59,1/1,,,,,,,,2 - Stanovanje,nadstropje,,59.4,49.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,463401.48,99348.92,2021,61
531164,2680,NOVE JARŠE,LJUBLJANA,1021,3,,,1,LJUBLJANA,ŠMARTINSKA CESTA,147,,3,2,2020,1,,1,84,147/10000,,,,,,,,2 - Stanovanje,pritličje,,84,55.1," bivalni prostor | garažni parkirni prostor | klet | odprta terasa, balkon, loža",,,464490.81,103425.15,2021,61
528389,1738,DRAVLJE,LJUBLJANA,1607,1,,,1,LJUBLJANA,NA KOROŠCI,15,A,1,2,1970,1,,,208,7/40,,,,,,,,2 - Stanovanje,pritličje,,207.5,77.3," bivalni prostor | garažni parkirni prostor | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,459332.85,105011.73,2021,61
531598,1756,ČRNUČE,LJUBLJANA,4763,5,,,1,LJUBLJANA,NA BREŽINI,15,A,5,2,2019,1,,1,77.7,1/1,,,,,,,,2 - Stanovanje,nadstropje,,77.7,54.7," bivalni prostor | odprta terasa, balkon, loža",,,464398.53,107377.94,2021,61
558769,2677,PRULE,LJUBLJANA,238,1,,,1,LJUBLJANA,PRIJATELJEVA ULICA,24,,1,2,1895,1,,,119,1/1,,,,,,,,47 - Stanovanje v dvostanovanjski stavbi,nadstropje,,118.9,109.2," bivalni prostor | shramba, sušilnica, pralnica | zaprta terasa, balkon, loža",,,462219.89,100362.9,2021,61
532145,1734,JEŽICA,LJUBLJANA,1294,107,,,1,LJUBLJANA,GLINŠKOVA PLOŠČAD,8,,58,2,1978,1,,,66,1/1,,,,,,,,2 - Stanovanje,nadstropje,,65.5,59.8," bivalni prostor | odprta terasa, balkon, loža",,,462064.79,105858.93,2021,61
581974,2636,BEŽIGRAD,LJUBLJANA,3917,143,,,1,,,,,143,3,2006,1,,,15,1/1,,,,,,,,16 - Garažno parkirno mesto,klet,,15.2,15.2, garažni parkirni prostor,,,463234.67,102874.86,2021,61
581947,2636,BEŽIGRAD,LJUBLJANA,8143,1,,,1,,,,,,4,1963,1,,,17,2/6,,,,,,,,15 - Garaža,,,17,17, garaža,,,461901.48,102862.54,2021,61
544246,2636,BEŽIGRAD,LJUBLJANA,2583,9,,,1,LJUBLJANA,HRANILNIŠKA ULICA,9,,9,2,1892,1,,,92,1/1,,,,,,,,2 - Stanovanje,mansarda,,91.5,64, bivalni prostor,,,461858.93,102950.46,2021,61
523337,1738,DRAVLJE,LJUBLJANA,2336,23,,,1,LJUBLJANA,GOTSKA ULICA,1,,24,2,1971,1,,,45,1/1,,,,,,,,2 - Stanovanje,nadstropje,,44.6,37.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,459516.34,104270.64,2021,61
550926,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,588,1,,,1,LJUBLJANA,PRUŠNIKOVA ULICA,15,,701,2,1965,1,,,48,1/1,,,,,,,,2 - Stanovanje,pritličje,,47.6,39.1," bivalni prostor | klet | odprta terasa, balkon, loža",,,459118.35,105868.65,2021,61
548919,1732,ŠTEPANJA VAS,LJUBLJANA,858,3,,,1,LJUBLJANA,LITIJSKA CESTA,10,,3,2,1910,1,,,51,14/100,,,,,,,,2 - Stanovanje,pritličje,,50.5,50.5, bivalni prostor,,,464119.88,100980.77,2021,61
631481,2678,GOLOVEC,LJUBLJANA,188,42,,,1,LJUBLJANA,HRADECKEGA CESTA,50,A,42,2,2021,1,,1,76.9,1/1,,,,,,,,2 - Stanovanje,nadstropje,,76,58.2, bivalni prostor | garažni parkirni prostor | klet,,,463361.45,100877.81,2021,61
530408,1772,SLAPE,LJUBLJANA,84,1,,,1,LJUBLJANA,"NOVO POLJE, CESTA VII",25,,,1,1973,1,,,150,1/6,,,,,,,,1 - Stanovanje v enostanovanjski stavbi,pritličje,,150,68," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,467646.72,102555.15,2021,61
539842,1753,VIŽMARJE,LJUBLJANA,1551,1,,,1,LJUBLJANA,NA GAJU,29,,,1,1934,1,,,163,1/1,,,,,,,,1 - Stanovanje v enostanovanjski stavbi,pritličje,,162.6,94.4, bivalni prostor | klet,,,458668.96,107867.15,2021,61
629753,1726,ŠENTPETER,LJUBLJANA,95,30,,,1,LJUBLJANA,GRABLOVIČEVA ULICA,24,,30,2,1979,1,,,92,1/1,,,,,,,,2 - Stanovanje,nadstropje,,92.3,79.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,463302,102055.89,2021,61
539682,1735,STOŽICE,LJUBLJANA,1603,20,,,1,LJUBLJANA,MAROLTOVA ULICA,6,,20,2,1977,1,,,76,1/1,,,,,,,,2 - Stanovanje,nadstropje,,75.5,73.9," bivalni prostor | klet | odprta terasa, balkon, loža",,,462736.04,104653.28,2021,61
544146,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1699,1,,,1,LJUBLJANA,PRI BORŠTU,26,,1,2,1955,1,,,50,1/1,,,,,,,,2 - Stanovanje,klet,,50,48.6, bivalni prostor,,,459821.31,105965.68,2021,61
557754,1726,ŠENTPETER,LJUBLJANA,21,1,,,1,LJUBLJANA,GRABLOVIČEVA ULICA,20,,1,2,1925,1,,,71,1/1,,,,,,,,2 - Stanovanje,klet,,70.9,70.9, bivalni prostor,,,463228.54,102130.17,2021,61
528352,1740,SPODNJA ŠIŠKA,LJUBLJANA,966,7,,,1,LJUBLJANA,KNEZOVA ULICA,22,,5,2,1909,1,,,71,1/3,,,,,,,,2 - Stanovanje,nadstropje,,71.3,58.8, bivalni prostor | klet,,,460970.22,103066.38,2021,61
583231,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,5548,1,,,1,LJUBLJANA,SREBRNIČEVA ULICA,55,A,,1,1964,1,,,78,1/3,,,,,,,,1 - Stanovanje v enostanovanjski stavbi,pritličje,,77.6,60," bivalni prostor | shramba, sušilnica, pralnica",,,461864.68,99312.18,2021,61
545187,2677,PRULE,LJUBLJANA,67,321,,,1,LJUBLJANA,ZVONARSKA ULICA,13,,321,2,1965,1,,,12,1/1,,,,,,,,2 - Stanovanje,nadstropje,,11.8,9.9, bivalni prostor | klet,,,461931.73,100539.8,2021,61
522802,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,3604,1,,,1,LJUBLJANA,LEVARJEVA ULICA,36,,,1,1967,1,,,173,3/16,,,,,,,,1 - Stanovanje v enostanovanjski stavbi,pritličje,,172.7,164.6," bivalni prostor | klet | odprta terasa, balkon, loža",,,460763.1,98910.31,2021,61
540143,2636,BEŽIGRAD,LJUBLJANA,8089,440,,,1,,,,,,3,1997,1,,,14,1/1,,,,,,,,16 - Garažno parkirno mesto,klet,,13.7,13.7, garažni parkirni prostor,,,462496.86,102395.61,2021,61
539683,2636,BEŽIGRAD,LJUBLJANA,3866,753,,,1,LJUBLJANA,ŽELEZNA CESTA,8,A,753,3,2005,1,,,12,1/1,,,,,,,,16 - Garažno parkirno mesto,klet,,12.4,12.4, garažni parkirni prostor,,,462389.22,102490.88,2021,61
532820,1732,ŠTEPANJA VAS,LJUBLJANA,1313,4,,,1,LJUBLJANA,JAKČEVA ULICA,33,,4,2,1975,1,,,42,1/1,,,,,,,,2 - Stanovanje,pritličje,,41.9,34.7, bivalni prostor | klet,,,464801.74,101492.43,2021,61
530312,1735,STOŽICE,LJUBLJANA,3629,59,,,1,LJUBLJANA,DUNAJSKA CESTA,185,,,3,2009,1,,,12,1/1,,,,,,,,15 - Garaža,klet,,12.4,12.4, garaža,,,462380.55,105257.4,2021,61
540044,1757,NADGORICA,LJUBLJANA,75,2,,,1,LJUBLJANA,JEŽA,53,,2,13,1901,1,,,65,1/1,,,,,,,,29 - Del stavbe za spravilo pridelka,pritličje,,65,65, kmetijski prostor,,,465053.51,107011.53,2021,61
539818,1726,ŠENTPETER,LJUBLJANA,171,27,,,1,LJUBLJANA,GRABLOVIČEVA ULICA,32,,27,2,1965,1,,,56,1/1,,,,,,,,2 - Stanovanje,nadstropje,,56.4,49.6," bivalni prostor | klet | zaprta terasa, balkon, loža",,,463417.99,102001.9,2021,61
558497,2636,BEŽIGRAD,LJUBLJANA,7892,1,,,1,,,,,,4,1965,1,,,14,1/1,,,,,,,,15 - Garaža,drugo,,14.3,0, garaža,,,462568,102938.64,2021,61
552499,1737,TABOR,LJUBLJANA,179,122,,,1,LJUBLJANA,KOTNIKOVA ULICA,28,,122,5,1963,1,,0,40.2,1/1,,,,,,,,9 - Poslovni del stavbe,nadstropje,,40.2,40.2, poslovni prostor,,,462415.22,101966.24,2021,61
551074,1725,AJDOVŠČINA,LJUBLJANA,145,5,,,1,LJUBLJANA,VALVASORJEVA ULICA,1,,5,2,1939,1,,,142,1/1,,,,,,,,2 - Stanovanje,nadstropje,,141.5,123.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,461237.31,101325.72,2021,61
555045,1738,DRAVLJE,LJUBLJANA,3344,181,,,1,LJUBLJANA,KAVADARSKA CESTA,5,,,4,2010,1,,,12,1/1,,,,,,,,15 - Garaža,klet,,12,12, garaža,,,459744.04,104358.01,2021,61
547349,1738,DRAVLJE,LJUBLJANA,3317,38,,,1,LJUBLJANA,LEDARSKA ULICA,5,B,212,2,2008,1,,,84,1/1,,,,,,,,2 - Stanovanje,nadstropje,,84.1,75.1," bivalni prostor | odprta terasa, balkon, loža",,,459031.74,104080.13,2021,61
521950,1739,ZGORNJA ŠIŠKA,LJUBLJANA,6986,244,,,1,,,,,244,4,2020,1,,1,13.7,1/1,,,,,,,,16 - Garažno parkirno mesto,klet,,13.7,13.7, garažni parkirni prostor,,,460746.56,104871.26,2021,61
554445,1737,TABOR,LJUBLJANA,140,28,,,1,,,,,,14,1922,1,,,4,14/100,,,,,,,,,,,,0,-,,,461934.21,102013.42,2021,61
550280,1726,ŠENTPETER,LJUBLJANA,237,1,,,1,LJUBLJANA,JENKOVA ULICA,8,,,1,1970,1,,,106,1/1,,,,,,,,1 - Stanovanje v enostanovanjski stavbi,pritličje,,105.5,102.8, bivalni prostor,,,462889.77,101949.34,2021,61
529203,1739,ZGORNJA ŠIŠKA,LJUBLJANA,6767,3629,,,1,LJUBLJANA,RAKUŠEVA ULICA,26,,887,15,2009,1,,1,21.6,1/1,,,,,,,,9 - Poslovni del stavbe,klet,,21.6,21.6, poslovni prostor,,,460210.52,104304.37,2021,61
540984,1753,VIŽMARJE,LJUBLJANA,3247,20,,,1,LJUBLJANA,TACENSKA CESTA,125,C,20,2,2006,1,,,154,1/1,,,,,,,,2 - Stanovanje,nadstropje,,154.4,133.9," bivalni prostor | odprta terasa, balkon, loža",,,458283.38,108397.37,2021,61
628562,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,953,3,,,1,LJUBLJANA,PRINČIČEVA ULICA,1,,3,2,1966,1,,,125,1/1,,,,,,,,2 - Stanovanje,mansarda,,125.3,81.9, bivalni prostor | klet,,,458775.41,105365.78,2021,61
544502,1737,TABOR,LJUBLJANA,642,22,,,1,LJUBLJANA,ILIRSKA ULICA,11,,206,2,1954,1,,,72,1/1,,,,,,,,2 - Stanovanje,nadstropje,,72.2,65.8, bivalni prostor | klet,,,462482.31,101602.45,2021,61
550356,1723,VIČ,LJUBLJANA,5210,11,,,1,LJUBLJANA,TBILISIJSKA ULICA,52,,11,2,1972,1,,,30,1/1,,,,,,,,2 - Stanovanje,nadstropje,,30.4,26," bivalni prostor | odprta terasa, balkon, loža",,,459358.46,99945.43,2021,61
531199,2680,NOVE JARŠE,LJUBLJANA,1021,38,,,1,LJUBLJANA,ŠMARTINSKA CESTA,147,,38,2,2020,1,,1,41.8,72/10000,,,,,,,,2 - Stanovanje,nadstropje,,41.8,26.3, bivalni prostor | garažni parkirni prostor | klet,,,464490.81,103425.15,2021,61
523173,2680,NOVE JARŠE,LJUBLJANA,77,25,,,1,LJUBLJANA,BEBLERJEV TRG,6,,56,2,1981,1,,,59,1/1,,,,,,,,2 - Stanovanje,nadstropje,,58.9,54," bivalni prostor | zaprta terasa, balkon, loža",,,464892.79,103725.31,2021,61
538249,2636,BEŽIGRAD,LJUBLJANA,8089,434,,,1,,,,,,3,1997,1,,,14,1/1,,,,,,,,16 - Garažno parkirno mesto,klet,,13.7,13.7, garažni parkirni prostor,,,462496.86,102395.61,2021,61
544898,1738,DRAVLJE,LJUBLJANA,2599,38,,,1,,,,,,14,1999,1,,,40,1/2,,,,,,,,37 - Skupni komunikacijski prostor,nadstropje,,39.7,39.7, skupni komunikacijski prostor,,,459648.06,105323.51,2021,61
584005,1756,ČRNUČE,LJUBLJANA,475,1,,,1,,,,,,4,1968,1,,,16,1/8,,,,,,,,15 - Garaža,pritličje,,16,16, garaža,,,463587.16,107516.38,2021,61
583293,1727,POLJANSKO PREDMESTJE,LJUBLJANA,1066,195,,,1,,,,,,4,2008,1,,,12,1/1,,,,,,,,15 - Garaža,klet,,12,12, garaža,,,462278.25,101376.73,2021,61
536766,2636,BEŽIGRAD,LJUBLJANA,1762,4,,,1,LJUBLJANA,ULICA METODA MIKUŽA,4,,5,2,1986,1,,,66,1/1,,,,,,,,2 - Stanovanje,pritličje,,65.9,35," bivalni prostor | odprta terasa, balkon, loža",,,462696.42,103227.89,2021,61
544574,1730,MOSTE,LJUBLJANA,2422,10,,,1,LJUBLJANA,ROJČEVA ULICA,16,,10,2,1972,1,,,79,1/1,,,,,,,,2 - Stanovanje,nadstropje,,78.7,72.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,463982.25,101985.65,2021,61
546931,1738,DRAVLJE,LJUBLJANA,400,15,,,1,LJUBLJANA,ZOLETOVA ULICA,5,,115,2,1974,1,,,55,1/1,,,,,,,,2 - Stanovanje,nadstropje,,55,42.1," bivalni prostor | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,458651.43,104371.42,2021,61
521952,1739,ZGORNJA ŠIŠKA,LJUBLJANA,6986,320,,,1,,,,,320,4,2020,1,,1,14.4,1/1,,,,,,,,16 - Garažno parkirno mesto,klet,,14.4,14.4, garažni parkirni prostor,,,460746.56,104871.26,2021,61
629270,1727,POLJANSKO PREDMESTJE,LJUBLJANA,369,9,,,1,LJUBLJANA,ZARNIKOVA ULICA,4,,42,2,1920,1,,,28,1/1,,,,,,,,2 - Stanovanje,nadstropje,,28.3,28.3, bivalni prostor,,,462528.89,101196.08,2021,61
557277,2636,BEŽIGRAD,LJUBLJANA,8089,552,,,1,,,,,,14,1997,1,,,4,1/653,,,,,,,,33 - Klet,,,4,4, klet,,,462496.86,102395.61,2021,61
582473,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1446,106,,,1,LJUBLJANA,MAJDE VRHOVNIKOVE ULICA,4,,14,2,1948,1,,,68,1/1,,,,,,,,2 - Stanovanje,nadstropje,,68.3,63," bivalni prostor | klet | odprta terasa, balkon, loža",,,460578.46,103542.14,2021,61
536931,1740,SPODNJA ŠIŠKA,LJUBLJANA,1081,1,,,1,,,,,,14,1900,1,,,30,1/1,,,,,,,,28 - Pomožni kmetijski del stavbe,pritličje,,30,30, kmetijski prostor,,,461275.46,102968,2021,61
581458,1727,POLJANSKO PREDMESTJE,LJUBLJANA,197,20,,,1,LJUBLJANA,POVŠETOVA ULICA,12,,10,2,1990,1,,,30,1/1,,,,,,,,2 - Stanovanje,nadstropje,,30.4,30.4, bivalni prostor,,,463378.21,101288.23,2021,61
542933,1737,TABOR,LJUBLJANA,121,14,,,1,LJUBLJANA,MIKLOŠIČEVA CESTA,36,,14,2,1920,1,,,93,1/1,,,,,,,,"34 - Shramba, sušilnica, pralnica",mansarda,,93,93," shramba, sušilnica, pralnica",,,461968.69,102025.39,2021,61
532097,2636,BEŽIGRAD,LJUBLJANA,7801,31,,,1,LJUBLJANA,AVČINOVA ULICA,6,,31,4,1989,1,,,19,1/1,,,,,,,,15 - Garaža,drugo,,19.3,19.3, garaža,,,462452.87,102536.63,2021,61
538463,1695,KARLOVŠKO PREDMESTJE,,5362,1,,,1,,,,,1,2,2020,1,,1,70.9,1/1,,,,,,,,2 - Stanovanje,pritličje,,70.9,57.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,463302.32,99406.14,2021,61
535494,1725,AJDOVŠČINA,LJUBLJANA,597,59,,,1,LJUBLJANA,SLOVENSKA CESTA,56,,33,5,1965,1,,,77,115/10000,,,,,,,,9 - Poslovni del stavbe,,,76.6,76.6, poslovni prostor,,,461808.8,101944.14,2021,61
543477,1739,ZGORNJA ŠIŠKA,LJUBLJANA,6986,230,,,1,,,,,230,4,2020,1,,1,13.3,1/1,,,,,,,,16 - Garažno parkirno mesto,klet,,13.3,13.3, garažni parkirni prostor,,,460746.56,104871.26,2021,61
531437,2706,ZELENA JAMA,LJUBLJANA,1049,449,,,2,,,,,,3,2021,1,,1,,1/1,12.5,,,,,,,,,,,,-,,,463595,102838,2021,61
