ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
555040,1,11.09.2021,12.08.2021,175000,0,,,,,,15.04.2025,11.09.2021,1,2,2021,61
526001,1,10.02.2021,16.12.2020,118000,0,,,,,,15.04.2025,10.02.2021,1,2,2021,61
582687,1,10.11.2021,05.10.2021,142000,0,,,,,,15.04.2025,10.11.2021,1,2,2021,61
558361,1,11.10.2021,22.06.2021,16255,0,,,,,,15.04.2025,11.10.2021,1,2,2021,61
608678,1,01.12.2021,24.03.2021,402371.44,1,3,,,Pod opredeljeno drugo se nahaja klet.,,15.04.2025,01.12.2021,1,2,2021,61
545568,1,11.07.2021,27.05.2021,189100,0,,,,,,15.04.2025,11.07.2021,1,2,2021,61
535643,1,10.05.2021,11.03.2021,155000,0,,,,,,15.04.2025,10.05.2021,1,2,2021,61
531572,1,02.04.2021,30.10.2020,250000,1,3,,,,,15.04.2025,02.04.2021,1,2,2021,61
558845,1,11.10.2021,28.10.2020,14000,0,,,,,,15.04.2025,11.10.2021,1,2,2021,61
551585,1,11.08.2021,20.07.2021,155000,0,,,,,,15.04.2025,11.08.2021,1,4,2021,61
530177,1,10.03.2021,26.01.2021,4363.51,0,,,,,,15.04.2025,10.03.2021,1,3,2021,61
551874,1,12.08.2021,23.07.2021,120000,0,,,,,,15.04.2025,12.08.2021,1,2,2021,61
529707,1,10.03.2021,17.01.2021,375000,0,,,,,,15.04.2025,10.03.2021,1,2,2021,61
539701,1,10.06.2021,31.03.2021,88000,0,,,,,,15.04.2025,10.06.2021,1,4,2021,61
534551,1,19.04.2021,08.10.2019,187335,1,3,,,,,15.04.2025,19.04.2021,1,2,2021,61
544952,1,10.07.2021,26.05.2021,161000,0,,,,,,15.04.2025,10.07.2021,1,2,2021,61
535972,1,10.05.2021,24.03.2021,75000,0,,,,,,15.04.2025,10.05.2021,1,4,2021,61
530755,1,11.03.2021,02.02.2021,133000,0,,,,,,15.04.2025,11.03.2021,1,2,2021,61
530409,1,10.03.2021,21.01.2021,4666.5,0,,,,,,15.04.2025,10.03.2021,1,3,2021,61
531598,1,02.04.2021,11.01.2019,120450,1,3,,,,,15.04.2025,02.04.2021,1,2,2021,61
533997,1,11.04.2021,15.03.2021,3900,0,,,,,,15.04.2025,11.04.2021,1,2,2021,61
549889,1,10.08.2021,30.06.2021,88000,0,,,,,,15.04.2025,10.08.2021,1,2,2021,61
540604,1,10.06.2021,21.04.2021,242000,0,,,,,,15.04.2025,10.06.2021,1,2,2021,61
553476,1,10.09.2021,16.07.2021,17000,0,,,,,,15.04.2025,10.09.2021,1,1,2021,61
546320,1,11.07.2021,05.06.2021,70000,0,,,,,,15.04.2025,11.07.2021,1,2,2021,61
560296,2,15.10.2021,01.10.2018,61200,1,4,,,,,15.04.2025,15.10.2021,1,2,2021,61
545010,1,10.07.2021,26.05.2021,240000,0,,,,,,15.04.2025,10.07.2021,1,2,2021,61
631529,1,23.12.2021,10.04.2021,331300.74,1,3,,,,,15.04.2025,23.12.2021,1,2,2021,61
537513,1,11.05.2021,09.04.2021,12500,0,,,,,,15.04.2025,11.05.2021,1,2,2021,61
530647,1,11.03.2021,29.01.2021,100000,0,,,,,,15.04.2025,11.03.2021,1,2,2021,61
522783,1,13.01.2021,23.11.2020,102000,0,,,,,,15.04.2025,13.01.2021,1,2,2021,61
558101,1,10.10.2021,01.09.2021,95000,0,,,,,,15.04.2025,10.10.2021,1,3,2021,61
540040,1,10.06.2021,11.03.2021,120000,0,,,,,,15.04.2025,10.06.2021,1,2,2021,61
533460,1,10.04.2021,25.02.2021,353040,0,,,,,,15.04.2025,10.04.2021,1,2,2021,61
543901,1,10.07.2021,03.05.2021,262000,0,,,,,,15.04.2025,10.07.2021,1,2,2021,61
543487,1,02.07.2021,25.05.2021,335000,1,3,,,,,15.04.2025,02.07.2021,1,2,2021,61
584418,3,11.11.2021,09.07.2021,181000,0,,,,,,15.04.2025,11.11.2021,1,3,2021,61
528002,1,11.02.2021,18.01.2021,75400,0,,,,,,15.04.2025,11.02.2021,1,3,2021,61
556133,1,24.09.2021,23.06.2021,1967819.13,1,4,,,"Gre za prodajo s povratnim najemom, vendar ne za klasični finančni lizing.",,15.04.2025,24.09.2021,1,3,2021,61
584222,1,11.11.2021,21.10.2021,105000,0,,,,,,15.04.2025,11.11.2021,1,2,2021,61
630177,1,10.12.2021,10.11.2021,230000,0,,,,,,15.04.2025,10.12.2021,1,2,2021,61
551634,1,11.08.2021,07.07.2021,3280,0,,,,,,15.04.2025,11.08.2021,1,2,2021,61
630730,1,11.12.2021,20.11.2021,90000,0,,,,,,15.04.2025,11.12.2021,1,2,2021,61
540714,1,10.06.2021,23.04.2021,9000,0,,,,,,15.04.2025,10.06.2021,1,2,2021,61
522119,1,13.01.2021,08.10.2020,260000,0,,,,,,15.04.2025,13.01.2021,1,3,2021,61
630502,1,11.12.2021,15.11.2021,260000,0,,,,,,15.04.2025,11.12.2021,1,2,2021,61
527864,1,11.02.2021,14.01.2021,115,0,,,,,,15.04.2025,11.02.2021,1,2,2021,61
554363,1,10.09.2021,03.08.2021,197500,0,,,,,,15.04.2025,10.09.2021,1,2,2021,61
628300,3,10.12.2021,03.09.2021,93500,0,,,,,,15.04.2025,10.12.2021,1,3,2021,61
526165,1,10.02.2021,20.12.2020,280000,0,,,,,,15.04.2025,10.02.2021,1,2,2021,61
560306,2,15.10.2021,29.03.2019,30500,1,4,,,,,15.04.2025,15.10.2021,1,2,2021,61
536887,1,10.05.2021,30.03.2021,255000,0,,,,,,15.04.2025,10.05.2021,1,2,2021,61
582461,1,10.11.2021,28.09.2021,18000,0,,,,,,15.04.2025,10.11.2021,1,2,2021,61
538028,1,11.05.2021,19.04.2021,96000,0,,,,,,15.04.2025,11.05.2021,1,2,2021,61
522821,1,13.01.2021,24.11.2020,30000,0,,,,,,15.04.2025,13.01.2021,1,2,2021,61
540595,1,10.06.2021,23.04.2021,219108,0,,,,,,15.04.2025,10.06.2021,1,2,2021,61
540314,4,10.06.2021,21.04.2021,18333.34,0,,,,,,10.06.2021,10.06.2021,1,4,2021,61
535635,1,10.05.2021,15.03.2021,104000,0,,,,,,15.04.2025,10.05.2021,1,2,2021,61
534543,1,19.04.2021,30.09.2020,221000,1,3,,,,,15.04.2025,19.04.2021,1,2,2021,61
551713,1,11.08.2021,19.07.2021,180000,0,,,,,,15.04.2025,11.08.2021,1,2,2021,61
540048,1,10.06.2021,12.04.2021,12000,0,,,,,,15.04.2025,10.06.2021,1,2,2021,61
531647,1,09.04.2021,05.09.2019,106152.36,1,4,,,,,15.04.2025,09.04.2021,1,2,2021,61
526908,1,10.02.2021,22.12.2020,185000,0,,,,,,15.04.2025,10.02.2021,1,2,2021,61
535482,1,10.05.2021,09.01.2021,600,0,,,,,,15.04.2025,10.05.2021,1,3,2021,61
534241,1,14.04.2021,26.03.2021,153607,1,3,,,,,15.04.2025,14.04.2021,1,2,2021,61
550684,1,11.08.2021,05.07.2021,351000,0,,,,,,15.04.2025,11.08.2021,1,2,2021,61
531585,1,02.04.2021,10.12.2019,210000,1,3,,,,,15.04.2025,02.04.2021,1,2,2021,61
531561,1,02.04.2021,27.10.2019,246000,1,3,,,,,15.04.2025,02.04.2021,1,2,2021,61
558846,1,11.10.2021,28.10.2020,9000,0,,,,,,15.04.2025,11.10.2021,1,2,2021,61
543738,1,10.07.2021,28.04.2021,129500,0,,,,,,15.04.2025,10.07.2021,1,2,2021,61
536396,1,10.05.2021,26.03.2021,16000,0,,,,,,15.04.2025,10.05.2021,1,2,2021,61
557106,1,10.10.2021,19.08.2021,118000,0,,,,,,15.04.2025,10.10.2021,1,2,2021,61
583728,1,10.11.2021,11.10.2021,135000,0,,,,,,15.04.2025,10.11.2021,1,2,2021,61
530184,1,10.03.2021,21.01.2021,161000,0,,,,,,15.04.2025,10.03.2021,1,2,2021,61
536138,1,10.05.2021,24.03.2021,157000,0,,,,,,15.04.2025,10.05.2021,1,2,2021,61
524413,1,14.01.2021,15.12.2020,368300,0,,,,,,15.04.2025,14.01.2021,1,2,2021,61
581905,1,10.11.2021,21.09.2021,100000,0,,,,,,15.04.2025,10.11.2021,1,4,2021,61
629554,1,10.12.2021,03.11.2021,640000,0,,,,,,15.04.2025,10.12.2021,1,2,2021,61
627975,1,09.12.2021,23.07.2021,98550,1,3,,,,,15.04.2025,09.12.2021,1,2,2021,61
583823,1,11.11.2021,15.10.2021,247320,0,,,,,,15.04.2025,11.11.2021,1,2,2021,61
543958,1,10.07.2021,10.05.2021,340000,0,,,,,,15.04.2025,10.07.2021,1,2,2021,61
557218,1,10.10.2021,20.08.2021,130000,0,,,,,,15.04.2025,10.10.2021,1,2,2021,61
550149,1,11.08.2021,01.07.2021,175000,0,,,,,,15.04.2025,11.08.2021,1,4,2021,61
550354,1,11.08.2021,05.07.2021,120000,0,,,,,,15.04.2025,11.08.2021,1,2,2021,61
541385,3,11.06.2021,12.04.2021,4223,0,,,,,,15.04.2025,11.06.2021,1,3,2021,61
629200,1,10.12.2021,12.10.2021,20000,0,,,,,,15.04.2025,10.12.2021,1,2,2021,61
536149,1,10.05.2021,15.03.2021,62000,0,,,,,,15.04.2025,10.05.2021,1,4,2021,61
558705,1,11.10.2021,09.09.2021,9480,0,,,,,,15.04.2025,11.10.2021,1,3,2021,61
550369,1,11.08.2021,04.05.2021,3096,0,,,,,,15.04.2025,11.08.2021,1,2,2021,61
628563,1,10.12.2021,21.10.2021,240000,0,,,,,,15.04.2025,10.12.2021,1,2,2021,61
545319,1,10.07.2021,27.05.2021,244500,0,,,,,,15.04.2025,10.07.2021,1,2,2021,61
524653,4,14.01.2021,15.11.2020,174000,0,,,,,,14.01.2021,14.01.2021,1,4,2021,61
584300,1,11.11.2021,21.10.2021,335000,0,,,,,,15.04.2025,11.11.2021,1,2,2021,61
535714,1,10.05.2021,16.03.2021,136000,0,,,,,,15.04.2025,10.05.2021,1,2,2021,61
526842,1,10.02.2021,29.12.2020,230000,0,,,,,,15.04.2025,10.02.2021,1,2,2021,61
558616,1,11.10.2021,08.09.2021,129400,0,,,,,,15.04.2025,11.10.2021,1,2,2021,61
532836,1,10.04.2021,22.02.2021,217000,0,,,,,,15.04.2025,10.04.2021,1,2,2021,61
537722,1,11.05.2021,09.04.2021,100001.01,0,,,,,,15.04.2025,11.05.2021,1,2,2021,61
541280,1,11.06.2021,26.04.2021,779548.85,0,,,,,,15.04.2025,11.06.2021,1,4,2021,61
531159,1,22.03.2021,23.02.2021,205975.01,1,3,,,,,15.04.2025,22.03.2021,1,2,2021,61
553105,2,10.09.2021,24.06.2021,3800,0,,,,,,15.04.2025,10.09.2021,1,1,2021,61
527947,1,11.02.2021,17.07.2020,14000,0,,,,,,15.04.2025,11.02.2021,1,1,2021,61
545121,1,10.07.2021,25.05.2021,154000,0,,,,,,15.04.2025,10.07.2021,1,2,2021,61
532621,1,10.04.2021,19.02.2021,352000,0,,,,,,15.04.2025,10.04.2021,1,2,2021,61
540706,1,10.06.2021,20.04.2021,110000,0,,,,,,15.04.2025,10.06.2021,1,2,2021,61
535969,1,10.05.2021,11.03.2021,370000,0,,,,,,15.04.2025,10.05.2021,1,2,2021,61
544267,1,10.07.2021,17.05.2021,240000,0,,,,,,15.04.2025,10.07.2021,1,2,2021,61
559098,1,11.10.2021,10.09.2021,207000,0,,,,,,15.04.2025,11.10.2021,1,2,2021,61
537090,1,11.05.2021,30.03.2021,300000,0,,,,,,15.04.2025,11.05.2021,1,2,2021,61
628230,1,10.12.2021,12.10.2021,199500,0,,,,,,15.04.2025,10.12.2021,1,2,2021,61
528321,3,11.02.2021,15.12.2020,111000,0,,,,,,15.04.2025,11.02.2021,1,3,2021,61
557563,1,10.10.2021,30.08.2021,155000,0,,,,,,15.04.2025,10.10.2021,1,2,2021,61
537592,1,11.05.2021,07.04.2021,180000,0,,,,,,15.04.2025,11.05.2021,1,2,2021,61
582101,1,10.11.2021,19.09.2021,13000,0,,,,,,15.04.2025,10.11.2021,1,2,2021,61
557112,1,10.10.2021,20.08.2021,100000,0,,,,,,15.04.2025,10.10.2021,1,2,2021,61
531896,1,09.04.2021,26.09.2019,141718.99,1,4,,,,,15.04.2025,09.04.2021,1,2,2021,61
540546,1,10.06.2021,20.04.2021,475000,0,,,,,,15.04.2025,10.06.2021,1,2,2021,61
