ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-275170,2636,BEŽIGRAD,LJUBLJANA,2913,107,,,1,Ljubljana,Topniška ulica,64,,107,2,1969,1,,0,,1/1,56,59.56,,,,,,,,2,63.2,0,,,,462740.15,102749.36,2009,61
-381885,1739,ZGORNJA ŠIŠKA,LJUBLJANA,928,999,,,0,LJUBLJANA,ULICA BRATOV UČAKAR,70,,,4,,1,,0,,1/1,15.15,15.15,,,,,,,,,,,,,,,,2009,61
-381885,1739,ZGORNJA ŠIŠKA,LJUBLJANA,928,999,,,0,LJUBLJANA,ULICA BRATOV UČAKAR,70,,,2,,1,,0,,1/1,62.59,62.59,,,,,,,,,,,,,,,,2009,61
-446208,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,374,3,,,1,LJUBLJANA,DOLENJSKA CESTA,56,,3,2,1965,1,,0,45.07,1/1,45.07,45.07,,,,,,,,2,45.1,39.7,,,,462880.11,99794.46,2009,61
-446209,2636,BEŽIGRAD,LJUBLJANA,594,5,,,1,LJUBLJANA,JARNIKOVA ULICA,3,,5,2,1931,1,,0,40,1/1,40,40,,,,,,,,1,38.3,38.3,,,,462085.14,103701.9,2009,61
-446210,1727,POLJANSKO PREDMESTJE,LJUBLJANA,939,3,,,1,LJUBLJANA,STRELIŠKA ULICA,33,,3,2,0,1,,0,80,1/1,80,80,,,,,,,,0,61.2,0,,,,462620.82,100741.05,2009,61
-446211,1740,SPODNJA ŠIŠKA,LJUBLJANA,870,8,,,1,LJUBLJANA,NA JAMI,1,,7,2,0,1,,0,56.32,1/1,56.32,56.32,,,,,,,,2,56.3,48.7,,,,460626.62,103127.27,2009,61
-450495,1728,LJUBLJANA MESTO,LJUBLJANA,442,999,,,0,LJUBLJANA,POKLUKARJEVA ULICA,18,,,2,,1,,0,,1/1,49.95,0,,,,,,,,,,,,,,,,2009,61
-450528,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,9999,999,,,0,Ni podatka,ZIHERLOVA ULICA,41,,,2,,1,,0,,1/1,69,69,,,,,,,,,,,,,,,,2009,61
-453005,1738,DRAVLJE,LJUBLJANA,400,999,,,0,ljuBLJANA,zoleTOVA ULICA,9,,,2,,1,,0,,1/1,76.23,0,,,,,,,,,,,,,,,,2009,61
-453551,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,399,999,,,0,ljubLJANA,PRUŠNIKOVA ULICA,58,,,2,,1,,0,,1/2,25,0,,,,,,,,,,,,,,,,2009,61
-446231,1755,GLINCE,LJUBLJANA,1872,1,,,0,,,,,1,2,,1,,0,51.47,1/1,51.47,51.47,,,,,,,,,51.5,42.8,,,,458170.37,104859.75,2009,61
-416181,1730,MOSTE,LJUBLJANA,2264,7,,,1,LJUBLJANA,LETALIŠKA CESTA,27,,7,5,1980,1,,0,147.96,1,147.96,147.96,,,,,prodali smo 1200/100.00 parc. št.127/142,,,,148,148,,,,466209.89,102682.92,2009,61
-416182,1730,MOSTE,LJUBLJANA,2264,8,,,1,LJUBLJANA,LETALIŠKA CESTA,27,,8,5,1980,1,,0,238.65,1,238.65,238.65,,,,,Prodali smo 10.227/100.000 parc. št. 127/142,,,,238.7,238.7,,,,466209.89,102682.92,2009,61
-405200,1739,ZGORNJA ŠIŠKA,LJUBLJANA,727,45,,,1,ljubLJANA,ADAMIČEVA ULICA,5,,112,2,1972,1,,0,,1/1,72,0,,,,,,,,3,73.1,59.8,,,,459626.36,103887.03,2009,61
-413933,1755,GLINCE,LJUBLJANA,1872,230,,,0,,,,,,4,,1,,0,13.78,1/1,13.78,13.78,,,,,,,,,13.8,13.8,,,,458170.37,104859.75,2009,61
-413933,1755,GLINCE,LJUBLJANA,1872,1,,,0,LJUBLJANA,PILONOVA ULICA,10,,1,2,,1,,0,51.47,1/1,51.47,45.42,,,,,,,,,51.5,42.8,,,,458170.37,104859.75,2009,61
-413938,1755,GLINCE,LJUBLJANA,1872,237,,,0,,,,,,4,,1,,0,13.81,1/1,13.81,13.81,,,,,,,,,13.8,13.8,,,,458170.37,104859.75,2009,61
-413938,1755,GLINCE,LJUBLJANA,1872,104,,,0,LJUBLJANA,PILONOVA ULICA,8,,104,2,,1,,0,45.4,1/1,45.4,40,,,,,,,,,45.4,36.7,,,,458170.37,104859.75,2009,61
-431793,2636,BEŽIGRAD,LJUBLJANA,7797,999,,,0,LJUBLJANA,ŠTIHOVA ULICA,17,,,4,,1,,0,,1/1,12.5,12.5,,,,,,,,,,,,,,,,2009,61
-413947,1772,SLAPE,LJUBLJANA,1826,55,,,1,LJUBLJANA,CHENGDUJSKA CESTA,26,,55,2,1986,1,,0,115.62,1/1,83.62,83.62,,,,,,,,3,83.6,71.4,,,,466329.15,101536.22,2009,61
-413950,2706,ZELENA JAMA,LJUBLJANA,1009,194,,,1,,,,,194,4,2003,1,,0,12.26,1/1,12.26,12.26,,,,,,,,0,12.3,12.3,,,,463323.08,102826.45,2009,61
-378962,1730,MOSTE,LJUBLJANA,1681,63,,,1,LJUBLJANA,BRODARJEV TRG,5,,63,2,1981,1,,0,55.77,1/1,55.77,55.77,,,,,,,,2,55.8,46.4,,,,465426.69,101632,2009,61
