ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
-137298,1,22.01.2008,09.05.2007,155000,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-162797,1,21.02.2008,21.02.2008,145500,0,,,,,,23.07.2015,21.02.2008,1,4,2008,61
-156390,1,13.02.2008,04.01.2007,169003,0,,,,,,23.07.2015,13.02.2008,1,4,2008,61
-88947,1,16.01.2008,14.11.2007,1030000,0,,,,,,23.07.2015,16.01.2008,1,4,2008,61
-130846,1,22.01.2008,07.03.2007,250000,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-115979,1,21.01.2008,12.01.2008,143000,0,,,,,,23.07.2015,21.01.2008,1,4,2008,61
-115980,1,21.01.2008,27.12.2007,420000,0,,,,,,23.07.2015,21.01.2008,1,4,2008,61
-137223,1,22.01.2008,26.04.2007,123101.12,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-158456,1,19.02.2008,05.06.2007,65000,0,,,,,,23.07.2015,19.02.2008,1,4,2008,61
-137236,1,22.01.2008,23.05.2007,121014.12,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-137246,1,22.01.2008,30.05.2007,89718,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-137251,1,22.01.2008,24.04.2007,138000,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-137305,1,22.01.2008,18.05.2007,97854.97,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-137308,1,22.01.2008,30.05.2007,93890,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-136998,1,22.01.2008,25.04.2007,170000,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-130690,1,22.01.2008,02.03.2007,83458.83,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
-130268,1,22.01.2008,10.04.2007,130500,0,,,,,,23.07.2015,22.01.2008,1,4,2008,61
