ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-137200,2706,ZELENA JAMA,LJUBLJANA,656,1,,,0,MOSTE,POKOPALIŠKA ULICA,47,,1,2,,1,,0,,1/1,123.12,123.12,,,,,,,,2,66.4,53.8,,,,463705.08,102724.44,2008,61
-137052,1720,KRAKOVSKO PREDMESTJE,LJUBLJANA,156,999,,,0,,EMONSKA,12,,,2,,1,,0,,1/1,25.25,25.25,,,,,,,,,,,,,,,,2008,61
-137055,2706,ZELENA JAMA,LJUBLJANA,1010,999,,,0,SAVSKO NASELJE,SAVSKA CESTA,8,A,,2,,1,,0,,1/1,74.74,74.74,,,,,,,,,,,,,,,,2008,61
-137061,1732,ŠTEPANJA VAS,LJUBLJANA,337,1,,,1,MOSTE,JAKČEVA,40,,9,2,1976,1,,0,,1/1,34.34,34.34,,,,,,,,,63,58.6,,,,464822.92,101616.08,2008,61
-158024,1735,STOŽICE,LJUBLJANA,1718,999,,,0,BS 4/2 STOŽICE,DUNAJSKA CESTA,184,,,14,,1,,0,,1/1,,11.11,,,,,,,,,,,,,,,,2008,61
-137064,1730,MOSTE,LJUBLJANA,1003,999,,,0,MOSTE,POKOPALIŠKA ULICA,11,,,2,,1,,0,,1/1,25.25,25.25,,,,,,,,,,,,,,,,2008,61
-137066,1772,SLAPE,LJUBLJANA,1805,1,,,1,FUŽINE,CHENGDUJSKA,16,,1,2,1986,1,,0,,1/1,37.37,37.37,,,,,,,,4,94.1,84.6,,,,466329.2,101569.55,2008,61
-130119,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,4431,999,,,0,TRNOVO,ZIHERLOVA,39,,,2,,1,,0,,1/2,28.28,28.28,,,,,,,,,,,,,,,,2008,61
-130179,1723,VIČ,LJUBLJANA,5504,999,,,0,DOLGI MOST,RAMOVŠEVA,49,,,2,,1,,0,,1/1,47.47,47.47,,,,,,,,,,,,,,,,2008,61
-130180,1723,VIČ,LJUBLJANA,9999,999,,,0,ROŽNA DOLINA,CESTA XVII/34,34,,,2,,1,,0,,1/1,68,68,,,,,,,,,,,,,,,,2008,61
-137419,2680,NOVE JARŠE,LJUBLJANA,292,1,,,1,NOVE JARŠE,KVEDROVA CESTA,16,,1,2,1967,1,,0,,1/1,24.24,,,,,,,,,3,76.4,68.4,,,,464788.54,103519.42,2008,61
