ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-374530,1723,VIČ,LJUBLJANA,711/17,6,,,1/1,,13,,,460097.53,100678.12,2008,61
-374530,1723,VIČ,LJUBLJANA,711/18,6,,,1/1,,14,,,460095.18,100677.18,2008,61
-365704,1723,VIČ,LJUBLJANA,1145/3,10,,,1/1,ZEMLJIŠČE JE DVORIŠČE,9,,,459337.37,100724.77,2008,61
-365704,1723,VIČ,LJUBLJANA,1149/301,10,,,1/1,zemljišče predstavlja dvorišče,18,,,459314.54,100745.18,2008,61
-365704,1723,VIČ,LJUBLJANA,1147/5,10,,,1/1,zemljišče predstavlja dvorišče,284,,,459306.37,100739.46,2008,61
-365704,1723,VIČ,LJUBLJANA,1146/112,5,,,1/1,,575,,,,,2008,61
-364912,1732,ŠTEPANJA VAS,LJUBLJANA,257/3,3,,,100,,767,,,465253.11,100950.92,2008,61
-364912,1732,ŠTEPANJA VAS,LJUBLJANA,257/3,5,,,100,,767,,,,,2008,61
-364912,1732,ŠTEPANJA VAS,LJUBLJANA,257/3,5,,,100,,767,,,,,2008,61
-364884,1770,KAŠELJ,LJUBLJANA,739/8,10,,,1/4,,203,,,470369.75,102377.17,2008,61
-364880,1770,KAŠELJ,LJUBLJANA,739/5,3,,,1/1,,467,,,470351.84,102388.22,2008,61
-364850,1735,STOŽICE,LJUBLJANA,2324,10,,,1/25,,30252,,,462960.19,105644.51,2008,61
-364833,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,164/5,3,,,1/1,,963,,,462286.43,99832.47,2008,61
-364750,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,913/23,3,,,1/1,,16,,,461853.9,99135.79,2008,61
