ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
425304,1723,VIČ,LJUBLJANA,5218,2,,,1,LJUBLJANA,TOMAŽIČEVA ULICA,38,,2,2,1968,1,,,41,1/2,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,1,40.8,36.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,459313.67,99885.43,2019,61
425443,1738,DRAVLJE,LJUBLJANA,3355,17,,,1,LJUBLJANA,VODNIKOVA CESTA,229,,17,2,2011,1,,,70,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,69.6,39.8," bivalni prostor | klet | odprta terasa, balkon, loža",,,459222.59,104389.13,2019,61
427980,1738,DRAVLJE,LJUBLJANA,3296,90,,,1,LJUBLJANA,TRG KOMANDANTA STANETA,11,,,3,2008,1,,1,12.5,1,,,,,,,,1242003 - Pokrito parkirišče,klet,,12.5,12.5, parkirni prostor,,,459898.18,104169.36,2019,61
407915,1738,DRAVLJE,LJUBLJANA,3296,861,,,1,LJUBLJANA,TRG KOMANDANTA STANETA,11,,,4,2008,1,,1,12.5,1/1,,,,,,,,1242003 - Pokrito parkirišče,,,,,-,,,459898.18,104169.36,2019,61
407912,1736,BRINJE I,LJUBLJANA,3392,95,,,1,LJUBLJANA,DUNAJSKA CESTA,144,A,95,2,2014,1,,1,90.4,1,,,8,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,90.4,82.2," bivalni prostor | klet | zaprta terasa, balkon, loža",,,462363.59,104619.89,2019,61
407912,1736,BRINJE I,LJUBLJANA,3392,288,,,1,,,,,,3,2014,1,,1,17.38,1,,,,,,,,1242003 - Pokrito parkirišče,klet,,17.5,17.5, parkirni prostor,,,462363.59,104619.89,2019,61
407916,1738,DRAVLJE,LJUBLJANA,3296,806,,,1,LJUBLJANA,TRG KOMANDANTA STANETA,8,,806,6,2008,1,,1,127.72,1/1,,,,,,,,1230105 - prodajalna polizdelkov,pritličje,,127.7,127.7," lokal, prodajalna",,,459898.18,104169.36,2019,61
407916,1738,DRAVLJE,LJUBLJANA,3296,858,,,1,LJUBLJANA,TRG KOMANDANTA STANETA,10,,,4,2008,1,,1,12.5,1/1,,,,,,,,1242003 - Pokrito parkirišče,,,,,-,,,459898.18,104169.36,2019,61
407916,1738,DRAVLJE,LJUBLJANA,3296,859,,,1,LJUBLJANA,TRG KOMANDANTA STANETA,10,,,4,2008,1,,1,12.5,1/1,,,,,,,,1242003 - Pokrito parkirišče,,,,,-,,,459898.18,104169.36,2019,61
407913,1736,BRINJE I,LJUBLJANA,3392,98,,,1,LJUBLJANA,DUNAJSKA CESTA,144,A,98,2,2014,1,,1,84.6,1,,,8,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,84.6,77.2," bivalni prostor | klet | zaprta terasa, balkon, loža",,,462363.59,104619.89,2019,61
407913,1736,BRINJE I,LJUBLJANA,3392,239,,,1,,,,,,3,2014,1,,1,12.5,1,,,,,,,,1242003 - Pokrito parkirišče,klet,,12.5,12.5, parkirni prostor,,,462363.59,104619.89,2019,61
407913,1736,BRINJE I,LJUBLJANA,3392,240,,,1,,,,,,3,2014,1,,1,12.5,1,,,,,,,,1242003 - Pokrito parkirišče,klet,,12.5,12.5, parkirni prostor,,,462363.59,104619.89,2019,61
408346,1731,UDMAT,LJUBLJANA,1562,16,,,1,LJUBLJANA,POVŠETOVA ULICA,104,C,6,2,1969,1,,,76,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,76.1,71.1," bivalni prostor | zaprta terasa, balkon, loža",,,464270.26,101371.97,2019,61
408851,1736,BRINJE I,LJUBLJANA,603,2,,,1,LJUBLJANA,DUNAJSKA CESTA,147,,2,1,1939,1,,,186,1/1,,,,1,,,,1121001 - Stanovanje v samostoječi stavbi z dvema stanovanjema,pritličje,4,186.4,112," bivalni prostor | klet | odprta terasa, balkon, loža",,,462299.56,104654.05,2019,61
409354,1731,UDMAT,LJUBLJANA,1925,6,,,1,LJUBLJANA,ZALOŠKA CESTA,51,,6,2,2010,1,,1,141.1,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,6,157.8,141.1," bivalni prostor | odprta terasa, balkon, loža",,,463870.16,101875.4,2019,61
409354,1731,UDMAT,LJUBLJANA,1925,36,,,1,LJUBLJANA,ZALOŠKA CESTA,51,,,14,2010,1,,1,5.4,1/1,,,,,,,,1274003 - Klet,klet,,5.4,5.4, klet,,,463870.16,101875.4,2019,61
410278,2636,BEŽIGRAD,LJUBLJANA,3082,2,,,1,LJUBLJANA,LUIZE PESJAKOVE ULICA,13,,2,2,1956,1,,,67,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,3,67.2,63.8, bivalni prostor | klet,,,462956.95,102639.96,2019,61
408387,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,5162,1,,,1,LJUBLJANA,IŽANSKA CESTA,191,A,,1,2013,0,5,,108,1/1,,,,1,,,,1110000 - Nedokončano stanovanje v stavbi z enim ali dvema stanovanjema,pritličje,0,107.5,0, nedokončan prostor,,,462251.14,98473.37,2019,61
408803,1730,MOSTE,LJUBLJANA,1465,275,,,1,LJUBLJANA,PREGLOV TRG,2,,275,2,1985,1,,,43,1/1,,,6,1,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,42.8,36.4," bivalni prostor | klet | odprta terasa, balkon, loža",,,465771.82,101812.4,2019,61
409324,1773,DOBRUNJE,LJUBLJANA,232,1,,,1,,,,,,13,1850,1,,,170,1/1,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,170,170, kmetijski prostor,,,467527.99,99865.36,2019,61
409114,1739,ZGORNJA ŠIŠKA,LJUBLJANA,470,13,,,1,LJUBLJANA,LJUBELJSKA ULICA,21,,13,2,1964,1,,,69,1/1,,,4,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,69.4,56.8," bivalni prostor | klet | zaprta terasa, balkon, loža",,,460496.52,104164.93,2019,61
409127,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1087,192,,,1,LJUBLJANA,PAVŠIČEVA ULICA,4,,,14,1977,1,,,2,1/2,,,,,,,,1274003 - Klet,klet,,2.4,2.4, klet,,,460277.9,103741.23,2019,61
410043,1732,ŠTEPANJA VAS,LJUBLJANA,962,134,,,1,LJUBLJANA,BILEČANSKA ULICA,4,,134,2,1977,1,,,42,1/1,,,13,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,42.4,36.8," bivalni prostor | klet | odprta terasa, balkon, loža",,,464731.65,100815.46,2019,61
408835,2636,BEŽIGRAD,LJUBLJANA,3297,26,,,1,,,,,,4,1960,1,,,13,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,13,13, garaža,,,462941.04,102493.16,2019,61
408732,1756,ČRNUČE,LJUBLJANA,464,101,,,1,LJUBLJANA,POLANŠKOVA ULICA,26,,101,2,1986,1,,,65,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,2,65,57.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,463488.05,107499.26,2019,61
410596,1755,GLINCE,LJUBLJANA,1889,2,,,1,LJUBLJANA,BLAŽIČEVA ULICA,12,C,2,2,2010,1,,,87,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,87.2,72.9," bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,456599.5,104917.48,2019,61
408945,2680,NOVE JARŠE,LJUBLJANA,467,104,,,1,LJUBLJANA,ULICA GRADNIKOVE BRIGADE,6,,111,14,1997,1,,,34,1/1,,,,,,,,1274003 - Klet,klet,,33.5,33.5, klet,,,464858.78,103622.82,2019,61
409335,1737,TABOR,LJUBLJANA,1015,129,,,1,,,,,,3,2009,1,,,12,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,12.4,12.4, garaža,,,462712.32,101915.93,2019,61
409110,1728,LJUBLJANA MESTO,LJUBLJANA,244,5,,,1,LJUBLJANA,GORNJI TRG,5,,4,8,1900,1,,,58,1/1,,,,,,,,1230104 - Prodajalna,pritličje,,57.6,57.6," lokal, prodajalna",,,461853.95,100900.63,2019,61
410483,2636,BEŽIGRAD,LJUBLJANA,3301,147,,,1,LJUBLJANA,ŠTIHOVA ULICA,7,,,3,1990,1,,,13,1/1,,,,,,,,1242003 - Pokrito parkirišče,klet,,12.5,12.5, parkirni prostor,,,462459.91,102492.32,2019,61
410483,2636,BEŽIGRAD,LJUBLJANA,3301,148,,,1,LJUBLJANA,ŠTIHOVA ULICA,7,,,3,1990,1,,,13,1/1,,,,,,,,1242003 - Pokrito parkirišče,klet,,12.5,12.5, parkirni prostor,,,462459.91,102492.32,2019,61
409108,1740,SPODNJA ŠIŠKA,LJUBLJANA,1232,22,,,1,,,,,,15,1904,1,,,1,1/1,,,2,,,,,1274015 - Shramba,nadstropje,,1.1,1.1," shramba, sušilnica, pralnica",,,461218.72,102839.21,2019,61
409011,1739,ZGORNJA ŠIŠKA,LJUBLJANA,2037,1,,,1,,,,,,5,1997,1,,,266,1/1,,,2,,,,,1220301 - Poslovni prostori,pritličje,,266,188, poslovni prostor,,,459060.67,103366.84,2019,61
408286,2636,BEŽIGRAD,LJUBLJANA,2780,238,,,1,LJUBLJANA,LINHARTOVA CESTA,11,,,3,1974,1,,,13,1/1,,,,,,,,1242003 - Pokrito parkirišče,drugo,,12.6,12.6, parkirni prostor,,,462058.65,102844.24,2019,61
408722,2636,BEŽIGRAD,LJUBLJANA,2995,18,,,1,LJUBLJANA,ŠTIHOVA ULICA,22,,18,11,1989,1,,,36,1/1,,,,,,,,1252002 - Skladišča,klet,,35.5,35.5, proizvodni prostor,,,462485.52,102703.37,2019,61
408841,1739,ZGORNJA ŠIŠKA,LJUBLJANA,6304,1,,,1,,,,,,4,1964,1,,,13,1/1,,,,,,,,1242001 - garaža,pritličje,,13,13, garaža,,,460550.46,103680.76,2019,61
410555,1757,NADGORICA,LJUBLJANA,485,1,,,1,,,,,,13,1967,1,,,40,1/1,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,40,40, kmetijski prostor,,,465987.52,106786.82,2019,61
410024,1725,AJDOVŠČINA,LJUBLJANA,218,410,,,1,LJUBLJANA,SLOVENSKA CESTA,55,,410,6,1956,1,,,84,1/1,,,2,,,,,1220301 - Poslovni prostori,drugo,,84.2,79.8, poslovni prostor,,,461704.35,101968.95,2019,61
409243,1695,KARLOVŠKO PREDMESTJE,,3586,1,,,1,,,,,,14,1950,1,,,24,1/1,,,,,,,,1274018 - Drvarnica,pritličje,,24,24, kmetijski prostor,,,462145.77,98120.63,2019,61
410588,2636,BEŽIGRAD,LJUBLJANA,8008,1,,,1,LJUBLJANA,HRANILNIŠKA ULICA,7,A,1,2,1967,1,,,95,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,94.5,70.9, bivalni prostor | klet,,,461853.36,102934.98,2019,61
409778,2636,BEŽIGRAD,LJUBLJANA,3165,9,,,1,LJUBLJANA,SMOLETOVA ULICA,12,,9,2,1961,1,,,46,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,46.3,41.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,461723.07,102560.48,2019,61
408270,2636,BEŽIGRAD,LJUBLJANA,8097,264,,,1,,,,,,3,2009,1,,0,18.6,1/1,,,,,,,,1242001 - garaža,klet,,18.6,18.6, garaža,,,462385.69,102401.41,2019,61
408926,2636,BEŽIGRAD,LJUBLJANA,3909,300,,,1,,,,,300,4,2007,1,,,17,1/1,,,,,,,,1242002 - garaža v garažni hiši,drugo,,17.2,17.2, garaža,,,462012.04,104037.52,2019,61
409429,1723,VIČ,LJUBLJANA,9909,14,,,1,LJUBLJANA,ULICA IVANE KOBILCE,7,,14,2,2013,1,,,81,1/1,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,80.6,66.9," bivalni prostor | odprta terasa, balkon, loža",,,458325.25,100484.29,2019,61
409107,2636,BEŽIGRAD,LJUBLJANA,3301,177,,,1,LJUBLJANA,ŠTIHOVA ULICA,7,,,3,1990,1,,,13,1/1,,,,,,,,1242003 - Pokrito parkirišče,drugo,,12.5,12.5, parkirni prostor,,,462459.91,102492.32,2019,61
410702,1723,VIČ,LJUBLJANA,9894,1,,,1,,,,,,4,1958,1,,,16,1/1,,,,,,,,1242001 - garaža,pritličje,,16,16, garaža,,,460263.17,100346.24,2019,61
409890,1725,AJDOVŠČINA,LJUBLJANA,378,94,,,1,LJUBLJANA,ŠTEFANOVA ULICA,3,,94,5,1933,1,,,61,1/1,,,2,,,,,1220101 - Poslovni prostori javne uprave,pritličje,,60.5,54.8, poslovni prostor,,,461555.44,101599.91,2019,61
409891,2636,BEŽIGRAD,LJUBLJANA,8326,1,,,1,,,,,,8,2006,1,,,36,1/2,,,,,,,,1230104 - Prodajalna,pritličje,,36,36," lokal, prodajalna",,,462167.08,103588.9,2019,61
410947,1727,POLJANSKO PREDMESTJE,LJUBLJANA,1995,143,,,1,LJUBLJANA,GLONARJEVA ULICA,2,,143,6,2004,1,,0,91.4,1/1,,,,,,,,1220301 - Poslovni prostori,pritličje,,91.4,91.4, poslovni prostor,,,463398.31,101229.58,2019,61
410947,1727,POLJANSKO PREDMESTJE,LJUBLJANA,1995,669,,,1,LJUBLJANA,GLONARJEVA ULICA,4,,669,3,2004,1,,0,14.7,1/1,,,,,,,,1242003 - Pokrito parkirišče,klet,,14.7,14.7, parkirni prostor,,,463398.31,101229.58,2019,61
410866,1737,TABOR,LJUBLJANA,1015,55,,,1,,,,,,4,2009,1,,1,22.7,1/1,,,,,,,,1242002 - garaža v garažni hiši,,,,,-,,,462712.32,101915.93,2019,61
416646,1723,VIČ,LJUBLJANA,10072,6,,,1,LJUBLJANA,ULICA IVANE KOBILCE,33,,6,2,2016,1,,1,100.2,1/1,,,,1,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,,3,100.2,72.4," bivalni prostor | klet | parkirni prostor | zaprta terasa, balkon, loža",,,458261.03,100413.5,2019,61
416648,1723,VIČ,LJUBLJANA,10031,19,,,1,LJUBLJANA,JEŽKOVA ULICA,5,,19,2,2016,1,,1,125.3,1/1,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,4,125.3,107.7," bivalni prostor | odprta terasa, balkon, loža",,,458362.69,100663.45,2019,61
416648,1723,VIČ,LJUBLJANA,10031,34,,,1,,,,,,14,2016,1,,1,9.1,1/1,,,,,,,,1274015 - Shramba,klet,,9.1,9.1," shramba, sušilnica, pralnica",,,458362.69,100663.45,2019,61
416648,1723,VIČ,LJUBLJANA,10031,188,,,1,,,,,,3,2016,1,,1,12.5,1/1,,,,,,,,1242003 - Pokrito parkirišče,klet,,12.5,12.5, parkirni prostor,,,458362.69,100663.45,2019,61
416648,1723,VIČ,LJUBLJANA,10031,187,,,1,,,,,,3,2016,1,,1,12.5,1/1,,,,,,,,1242003 - Pokrito parkirišče,klet,,12.5,12.5, parkirni prostor,,,458362.69,100663.45,2019,61
419833,1727,POLJANSKO PREDMESTJE,LJUBLJANA,1996,31,,,1,LJUBLJANA,GESTRINOVA ULICA,3,,,14,1929,1,,,5,1/1,,,,,,,,1274003 - Klet,klet,,5,5, klet,,,462354.32,101317.76,2019,61
419899,1727,POLJANSKO PREDMESTJE,LJUBLJANA,167,217,,,1,LJUBLJANA,POLJANSKI NASIP,32,,263,4,1977,1,,,13,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,12.5,12.5, garaža,,,462447.52,101314.45,2019,61
408434,1727,POLJANSKO PREDMESTJE,LJUBLJANA,1063,120,,,1,LJUBLJANA,MESARSKA CESTA,30,,120,2,2006,1,,,133,1/2,,,4,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,4,132.7,85.3," bivalni prostor | klet | odprta terasa, balkon, loža | parkirni prostor",,,463069.55,100949.39,2019,61
410496,1740,SPODNJA ŠIŠKA,LJUBLJANA,1939,13,,,1,LJUBLJANA,ULICA MILANA MAJCNA,18,,13,2,2005,1,,,206,1/1,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,5,205.8,154.3," bivalni prostor | klet | odprta terasa, balkon, loža",,,461136.52,102796.38,2019,61
408926,2636,BEŽIGRAD,LJUBLJANA,3908,209,,,1,LJUBLJANA,PEGAMOVA ULICA,12,,209,14,2006,1,,,5,1/1,,,,,,,,1274003 - Klet,drugo,,5.4,5.4, klet,,,461996.67,104040.74,2019,61
411441,1738,DRAVLJE,LJUBLJANA,2062,1,,,1,,,,,,5,1984,1,,0,72.1,1/1,,,2,,,,,1220301 - Poslovni prostori,pritličje,,72.1,72.1, poslovni prostor,,,460026.94,104680.15,2019,61
411441,1738,DRAVLJE,LJUBLJANA,2172,1,,,1,,,,,,15,1980,1,,0,230.4,1/1,,,,,,,,1242003 - Pokrito parkirišče,pritličje,,230.4,230.4, parkirni prostor,,,459952.07,104556.17,2019,61
409457,1738,DRAVLJE,LJUBLJANA,158,1,,,1,LJUBLJANA,PLEŠIČEVA ULICA,4,,1,2,1972,1,,,72,1/1,,,2,1,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,3,72.2,67.1," bivalni prostor | klet | odprta terasa, balkon, loža",,,458795.22,104686.81,2019,61
409588,1737,TABOR,LJUBLJANA,564,2,,,1,LJUBLJANA,KOMENSKEGA ULICA,14,,7,5,1900,1,,,28,1/1,,,2,,,,,1220301 - Poslovni prostori,pritličje,,27.7,27.7, poslovni prostor,,,462074.04,101642.48,2019,61
409969,1730,MOSTE,LJUBLJANA,2235,62,,,1,,,,,62,4,1999,1,,,13,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,13.3,13.3, garaža,,,465681.56,101653.47,2019,61
410017,2636,BEŽIGRAD,LJUBLJANA,778,4,,,1,LJUBLJANA,DUNAJSKA CESTA,94,,4,2,1940,1,,,114,1/2,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,mansarda,3,114,92.3, bivalni prostor,,,462170.3,103597.66,2019,61
410754,1732,ŠTEPANJA VAS,LJUBLJANA,1372,2,,,1,LJUBLJANA,MOŠKRIČEVA ULICA,24,,2,2,1963,1,,,41,1/6,,,,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,,,40.8,36.2, bivalni prostor | klet,,,464236.46,101671.92,2019,61
409933,1725,AJDOVŠČINA,LJUBLJANA,317,38,,,1,LJUBLJANA,ŽUPANČIČEVA ULICA,18,,14,2,1999,1,,,58,1/2,,,,,,,,"1211202 - Restavracija, gostilna",pritličje,0,58.2,31.9," lokal, prodajalna",,,461547.22,101785.21,2019,61
408304,1735,STOŽICE,LJUBLJANA,2342,1,,,1,LJUBLJANA,RAIČEVA ULICA,99,A,,1,1995,1,,,77,1/2,,,,,,,,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",drugo,3,76.7,54.9, bivalni prostor | garaža | klet,,,463828.69,105067.17,2019,61
409439,1739,ZGORNJA ŠIŠKA,LJUBLJANA,6757,116,,,1,LJUBLJANA,MARTINA KRPANA ULICA,5,,116,2,1961,1,,,59,1/1,,,3,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,59.4,54.2, bivalni prostor | klet,,,459657.03,104255.17,2019,61
410496,1740,SPODNJA ŠIŠKA,LJUBLJANA,1941,27,,,1,,,,,27,3,2005,1,,,13,1/1,,,,,,,,1242002 - garaža v garažni hiši,drugo,,12.5,12.5, garaža,,,461121.35,102767.52,2019,61
