ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
328348,1738,DRAVLJE,LJUBLJANA,803/5,5,,,1/1,,71,,,460162,104363.67,2019,61
328348,1738,DRAVLJE,LJUBLJANA,803/4,5,,,1/1,,640,,,460131.63,104397.54,2019,61
328348,1738,DRAVLJE,LJUBLJANA,803/1,5,,,1/1,,1585,,,460164.28,104387.28,2019,61
328348,1738,DRAVLJE,LJUBLJANA,798/7,5,,,1/1,,1956,,,460159.73,104519.59,2019,61
371026,1749,GAMELJNE,LJUBLJANA,694/33,5,,,425/1000,,72,,,461155.4,109673.22,2019,61
371026,1749,GAMELJNE,LJUBLJANA,694/16,5,,,353/1000,,40,,,461147.72,109677.73,2019,61
371026,1749,GAMELJNE,LJUBLJANA,694/24,5,,,1/1,,26,,,461155.37,109681.47,2019,61
371026,1749,GAMELJNE,LJUBLJANA,694/26,5,,,1/1,,144,,,461161.04,109685.58,2019,61
371026,1749,GAMELJNE,LJUBLJANA,694/29,5,,,1/1,,29,,,461155.07,109666.98,2019,61
371026,1749,GAMELJNE,LJUBLJANA,694/32,5,,,1/1,,162,,,461160.21,109658.23,2019,61
371026,1749,GAMELJNE,LJUBLJANA,694/30,5,,,1/1,,58,,,461158.71,109663.71,2019,61
373686,1738,DRAVLJE,LJUBLJANA,1732/4,5,,,1/1,,290,,,458531.77,103688.56,2019,61
379053,1770,KAŠELJ,LJUBLJANA,1866/1,1,,,1/1,,185,,,469049.97,101173.03,2019,61
379053,1770,KAŠELJ,LJUBLJANA,1866/11,1,,,1/1,,22,,,469048.65,101147.53,2019,61
