ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-678745,2679,GRADIŠČE II,LJUBLJANA,*256,5,,,1/10,,203,,,460944.23,100662.19,2014,61
-678718,1756,ČRNUČE,LJUBLJANA,609/6,5,,,3/16,,472,,,464469.64,107405.64,2014,61
-673885,2679,GRADIŠČE II,LJUBLJANA,*256,5,,,1/10,,203,,,460944.23,100662.19,2014,61
-673858,1756,ČRNUČE,LJUBLJANA,609/6,5,,,3/16,,472,,,464469.64,107405.64,2014,61
-673787,1723,VIČ,LJUBLJANA,336,5,,,1/1,,632,,,459787.65,101293.71,2014,61
-673787,1723,VIČ,LJUBLJANA,336,5,,,1/1,,632,,,459787.65,101293.71,2014,61
-673744,1994,DOBROVA,LJUBLJANA,2045/67,5,,,76/1000,,372,,,457479.03,99595.1,2014,61
-673732,1772,SLAPE,LJUBLJANA,676/6,3,,,1/1,,336,,,467645.96,102119.28,2014,61
-673732,1772,SLAPE,LJUBLJANA,677/7,5,,,1/1,,241,,,467649.09,102143,2014,61
-673693,1730,MOSTE,LJUBLJANA,993/12,3,,,5/700,,56,,,463931.46,101940.58,2014,61
-673693,1730,MOSTE,LJUBLJANA,993/7,3,,,5/700,,429,,,463936.28,101968.2,2014,61
-673693,1730,MOSTE,LJUBLJANA,993/9,3,,,5/700,,131,,,463965.45,101963.72,2014,61
-673693,1730,MOSTE,LJUBLJANA,993/10,3,,,5/700,,384,,,463939.44,101946.49,2014,61
-673693,1730,MOSTE,LJUBLJANA,993/8,3,,,5/700,,440,,,463958.91,101986.41,2014,61
-673693,1730,MOSTE,LJUBLJANA,993/11,3,,,5/700,,56,,,463954.6,101952.24,2014,61
-673693,1730,MOSTE,LJUBLJANA,993/6,3,,,5/700,,775,,,463922.56,101965.33,2014,61
-673693,1730,MOSTE,LJUBLJANA,993/5,5,,,5/700,,66,,,463938.63,101979.12,2014,61
-673693,1730,MOSTE,LJUBLJANA,992,5,,,5/700,,671,,,463949.12,101973.85,2014,61
-673658,2679,GRADIŠČE II,LJUBLJANA,182/6,10,,,1/2,,99,,,460369.9,100685.27,2014,61
-673658,2679,GRADIŠČE II,LJUBLJANA,182/1,10,,,1/2,,69,,,460362.7,100686.68,2014,61
-673658,2679,GRADIŠČE II,LJUBLJANA,182/8,10,,,1/1,,15,,,460372.41,100675.78,2014,61
-673654,1753,VIŽMARJE,LJUBLJANA,631/177,5,,,1/1,,374,,,458927.79,108221.47,2014,61
-673636,1737,TABOR,LJUBLJANA,3222,5,,,1/1,,18,,,462703.52,101813.04,2014,61
-673613,1723,VIČ,LJUBLJANA,2112/28,6,,,1/1,,9,,,458340.22,99449.27,2014,61
-673613,1723,VIČ,LJUBLJANA,2112/30,6,,,1/1,,2,,,458339.22,99447.82,2014,61
-673602,1723,VIČ,LJUBLJANA,1667/11,5,,,1/1,,14,,,459495.86,100204.66,2014,61
-673589,1994,DOBROVA,LJUBLJANA,2045/67,5,,,76/1000,,372,,,457479.03,99595.1,2014,61
-673589,1994,DOBROVA,LJUBLJANA,2045/68,5,,,76/1000,,225,,,457489.35,99598.54,2014,61
-673576,1723,VIČ,LJUBLJANA,552,3,,,1/1,,398,,,459656.33,100711.8,2014,61
-673576,1723,VIČ,LJUBLJANA,551,5,,,1/1,,214,,,459666.52,100704.35,2014,61
-673569,1735,STOŽICE,LJUBLJANA,2248/3,6,,,57/1000,,484,,,464209.77,104739.67,2014,61
-673536,1756,ČRNUČE,LJUBLJANA,631/29,3,,,1/1,,186,,,464587.78,107433.31,2014,61
-673536,1756,ČRNUČE,LJUBLJANA,631/7,5,,,1/1,,446,,,464581.85,107434.12,2014,61
-673514,1723,VIČ,LJUBLJANA,2099/16,6,,,1/1,,532,,,458284.29,99155.45,2014,61
-673513,1723,VIČ,LJUBLJANA,2110/10,3,,,8334/10000,,641,,,458340.2,99070.17,2014,61
-673513,1723,VIČ,LJUBLJANA,2114/7,3,,,8334/10000,,190,,,458364.35,99073.82,2014,61
-673513,1723,VIČ,LJUBLJANA,2114/8,3,,,8334/10000,,190,,,458366.09,99055.64,2014,61
-673513,1723,VIČ,LJUBLJANA,2110/21,6,,,NP,,11,,,458358.09,99076.5,2014,61
-673502,1723,VIČ,LJUBLJANA,2110/22,6,,,1/1,,11,,,458358.45,99071.04,2014,61
-673492,1732,ŠTEPANJA VAS,LJUBLJANA,113/1,5,,,1/1,,365,,,464190.99,101690.17,2014,61
-673492,1732,ŠTEPANJA VAS,LJUBLJANA,113/2,5,,,1/1,,297,,,464186.18,101677.59,2014,61
-673456,1740,SPODNJA ŠIŠKA,LJUBLJANA,777/1,5,,,7/12,,175,,,461040.55,103118.5,2014,61
-673422,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,243/1008,6,,,1/1,,12,,,463508.35,98845.93,2014,61
-673386,1723,VIČ,LJUBLJANA,1884/1,5,,,1/1,,206,,,459185.76,99659.9,2014,61
