ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
376140,1,18.04.2018,11.02.2018,10000,0,,,,dpn 1598,0,15.04.2025,18.04.2018,1,2,2018,61
376164,1,18.04.2018,27.02.2018,238550,0,,,,n 2089/2018,0,15.04.2025,18.04.2018,1,1,2018,61
376170,1,18.04.2018,05.03.2018,300000,0,,,,PV 2128/2018,0,15.04.2025,18.04.2018,1,2,2018,61
369441,1,15.03.2018,25.01.2018,380000,0,,,,,0,15.04.2025,15.03.2018,1,4,2018,61
369447,1,15.03.2018,19.01.2018,105000,0,,,,pv1144/2018,1,15.04.2025,15.03.2018,1,4,2018,61
387498,1,13.07.2018,13.06.2018,132000,0,,,,5706/2018,0,15.04.2025,13.07.2018,1,1,2018,61
387517,1,13.07.2018,18.06.2018,3150,0,,,,N 5944/2018,0,15.04.2025,13.07.2018,1,2,2018,61
387518,1,13.07.2018,08.06.2018,2560,0,,,,5734/2018,0,15.04.2025,13.07.2018,1,2,2018,61
387519,1,13.07.2018,15.06.2018,60000,0,,,,N 5968/18,1,15.04.2025,13.07.2018,1,1,2018,61
387522,1,13.07.2018,11.06.2018,285000,0,,,,5763,1,15.04.2025,13.07.2018,1,2,2018,61
388105,1,13.07.2018,25.04.2018,95000,0,,,,N 4303/2018,0,15.04.2025,13.07.2018,1,2,2018,61
388111,1,13.07.2018,19.04.2018,150,0,,,,N 4267/2018,0,15.04.2025,13.07.2018,1,3,2018,61
369458,1,15.03.2018,01.02.2018,115500,0,,,,1040/2018,1,15.04.2025,15.03.2018,1,2,2018,61
369462,1,15.03.2018,30.01.2018,73000,0,,,,,0,15.04.2025,15.03.2018,1,1,2018,61
369464,1,15.03.2018,01.02.2018,129000,0,,,,1118/2018,1,15.04.2025,15.03.2018,1,3,2018,61
369471,1,15.03.2018,31.01.2018,98000,0,,,,,1,15.04.2025,15.03.2018,1,1,2018,61
369480,1,15.03.2018,01.02.2018,60000,0,,,,N 1125/2018,0,15.04.2025,15.03.2018,1,1,2018,61
369483,1,15.03.2018,30.01.2018,94900,0,,,,n 1098/18,0,15.04.2025,15.03.2018,1,3,2018,61
369488,1,15.03.2018,29.01.2018,293000,0,,,,868/2018,0,15.04.2025,15.03.2018,1,1,2018,61
376784,1,25.04.2018,24.04.2018,344614.81,1,3,,,,,15.04.2025,25.04.2018,1,1,2018,61
376804,1,25.04.2018,10.02.2017,146400,1,4,,,,0,15.04.2025,25.04.2018,1,3,2018,61
376835,1,26.04.2018,25.04.2018,2684,1,4,,,,,15.04.2025,26.04.2018,1,1,2018,61
379471,3,15.05.2018,19.04.2018,175309.5,1,3,,,,0,15.04.2025,15.05.2018,1,4,2018,61
370134,1,15.03.2018,02.02.2018,170000,0,,,,DPN 1130,1,15.04.2025,15.03.2018,1,2,2018,61
370136,1,15.03.2018,06.02.2018,8000,0,,,,DPN 1256,0,15.04.2025,15.03.2018,1,1,2018,61
370146,1,15.03.2018,28.01.2018,12000,0,,,,n 1209/18,0,15.04.2025,15.03.2018,1,1,2018,61
370158,1,15.03.2018,22.01.2018,240000,0,,,,797/2018,0,15.04.2025,15.03.2018,1,1,2018,61
370162,1,15.03.2018,29.12.2017,104000,0,,,,,0,15.04.2025,15.03.2018,1,4,2018,61
370165,1,15.03.2018,02.02.2018,285000,0,,,,DPN 1165,0,15.04.2025,15.03.2018,1,1,2018,61
370175,1,15.03.2018,03.02.2018,105000,0,,,,pv 1201/18,1,15.04.2025,15.03.2018,1,1,2018,61
370863,1,15.03.2018,25.01.2018,8250,0,,,,903/2018,0,15.04.2025,15.03.2018,1,1,2018,61
370868,1,15.03.2018,02.02.2018,100000,0,,,,N 1333/2018,0,15.04.2025,15.03.2018,1,1,2018,61
370869,1,15.03.2018,06.02.2018,15000,0,,,,dpn 1292,0,15.04.2025,15.03.2018,1,1,2018,61
370870,1,15.03.2018,07.02.2018,326000,0,,,,DPN 1380,1,15.04.2025,15.03.2018,1,2,2018,61
370878,1,15.03.2018,17.01.2018,600,0,,,,,0,15.04.2025,15.03.2018,1,2,2018,61
370893,1,15.03.2018,18.01.2018,120000,0,,,,576,0,15.04.2025,15.03.2018,1,3,2018,61
370901,1,15.03.2018,26.01.2018,140000,0,,,,N 851/2018,0,15.04.2025,15.03.2018,1,1,2018,61
390157,1,07.09.2018,23.08.2018,137030.4,1,4,,,Pogodba o finančnem leasingu z dne 30.10.2013 in aneks št. 1 k pogodbi za odkup finančnega leasinga z dne 23.8.2018.,0,15.04.2025,10.09.2018,1,2,2018,61
390158,1,07.09.2018,23.08.2018,70037.76,1,4,,,Pogodba o finančnem leasingu z dne 6.4.2017 in aneks št. 1 z dne 23.8.2018 k pogodbi za odkup finančnega leasinga.,0,15.04.2025,10.09.2018,1,2,2018,61
390161,1,07.09.2018,23.08.2018,86210.32,1,4,,,,0,15.04.2025,07.09.2018,1,2,2018,61
375790,1,18.04.2018,15.02.2018,15000,0,,,,n 1846/2018,0,15.04.2025,18.04.2018,1,3,2018,61
375793,1,18.04.2018,26.02.2018,25000,0,,,,n 1923/18,1,15.04.2025,18.04.2018,1,3,2018,61
375816,1,18.04.2018,22.02.2018,130000,0,,,,n 1799 veza 1792/2018,0,15.04.2025,18.04.2018,1,1,2018,61
375842,1,18.04.2018,20.03.2018,25000,0,,,,N 2869/2018,0,15.04.2025,18.04.2018,1,1,2018,61
386333,1,13.07.2018,12.06.2018,240000,0,,,,5643/2018,1,15.04.2025,13.07.2018,1,2,2018,61
386334,1,13.07.2018,08.06.2018,130000,0,,,,N 5573/2018,1,15.04.2025,13.07.2018,1,1,2018,61
386338,1,13.07.2018,23.04.2018,72000,0,,,,N 5580/2018,0,15.04.2025,13.07.2018,1,3,2018,61
386339,1,13.07.2018,10.05.2018,275000,0,,,,5423/2018,0,15.04.2025,13.07.2018,1,1,2018,61
386340,1,13.07.2018,08.06.2018,125000,0,,,,N 5559/2018,1,15.04.2025,13.07.2018,1,1,2018,61
386345,1,13.07.2018,08.06.2018,28800,0,,,,N 5569/2018,0,15.04.2025,13.07.2018,1,2,2018,61
386353,1,13.07.2018,05.06.2018,30000,0,,,,5437/2018,0,15.04.2025,13.07.2018,1,1,2018,61
386359,1,13.07.2018,23.05.2018,2338.4,0,,,,5475,0,15.04.2025,13.07.2018,1,2,2018,61
386371,1,13.07.2018,18.05.2018,6000,0,,,,5404,1,15.04.2025,13.07.2018,1,3,2018,61
386376,1,13.07.2018,31.05.2018,175000,0,,,,PV 5436/2018,1,15.04.2025,13.07.2018,1,2,2018,61
387397,1,13.07.2018,17.05.2018,6500,0,,,,PV 4863/2018,0,15.04.2025,13.07.2018,1,3,2018,61
387414,1,13.07.2018,21.05.2018,70000,0,,,,N 5084/2018,0,15.04.2025,13.07.2018,1,3,2018,61
387423,1,13.07.2018,01.05.2018,113000,0,,,,,0,15.04.2025,13.07.2018,1,4,2018,61
387475,1,13.07.2018,14.06.2018,211000,0,,,,5769/2018,0,15.04.2025,13.07.2018,1,4,2018,61
387488,1,13.07.2018,18.06.2018,108000,0,,,,5931/2018,1,15.04.2025,13.07.2018,1,1,2018,61
387490,1,13.07.2018,20.06.2018,285000,0,,,,N 5962/2018,1,15.04.2025,13.07.2018,1,1,2018,61
394417,1,14.09.2018,07.08.2018,87000,0,,,,n 7530/2018,0,15.04.2025,14.09.2018,1,1,2018,61
394474,1,14.09.2018,31.07.2018,93000,0,,,,7423/2018 (BJ),0,15.04.2025,14.09.2018,1,1,2018,61
397631,1,15.10.2018,12.09.2018,83000,0,,,,N 8735/2018,0,15.04.2025,15.10.2018,1,1,2018,61
374225,1,18.04.2018,21.02.2018,73000,0,,,,N 1919/2018,0,15.04.2025,18.04.2018,1,1,2018,61
374244,1,18.04.2018,15.03.2018,135000,0,,,,n 2620/2018,0,15.04.2025,18.04.2018,1,1,2018,61
374247,1,18.04.2018,16.03.2018,4000,0,,,,n 2686/2018 veza 2665/2018,1,15.04.2025,18.04.2018,1,1,2018,61
374256,1,18.04.2018,05.03.2018,16350,0,,,,,0,15.04.2025,18.04.2018,1,2,2018,61
374258,1,18.04.2018,05.03.2018,7500,0,,,,PV 2295/2018,0,15.04.2025,18.04.2018,1,3,2018,61
374259,1,18.04.2018,16.03.2018,210000,0,,,,,0,15.04.2025,18.04.2018,1,1,2018,61
374265,1,18.04.2018,06.03.2018,110000,0,,,,11288,0,15.04.2025,18.04.2018,1,2,2018,61
374266,1,18.04.2018,13.03.2018,21600,0,,,,N 2686/2018,0,15.04.2025,18.04.2018,1,3,2018,61
374270,1,18.04.2018,16.03.2018,240000,0,,,,2681,1,15.04.2025,18.04.2018,1,2,2018,61
374274,1,18.04.2018,23.02.2018,54000,0,,,,PV 2368/2018,0,15.04.2025,18.04.2018,1,3,2018,61
385246,2,09.07.2018,21.06.2018,416000,1,3,,,,,15.04.2025,09.07.2018,1,1,2018,61
385283,1,10.07.2018,01.06.2018,442860,1,4,,,,0,15.04.2025,10.07.2018,1,4,2018,61
252065,3,25.02.2016,30.10.2015,204945.78,1,4,,,"Za parkirno mesto je bil upoštevan 9,5% davek.",0,15.04.2025,08.03.2018,1,3,2018,61
