ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
251101,1738,DRAVLJE,LJUBLJANA,3318,199,,,1,,,,,,14,2008,1,,1,5.9,1/1,,,,,,,,1274003 - Klet,klet,,5.9,5.9,-,,,459088.93,104101.02,2018,61
257589,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7643,685,,,1,,,,,,3,2005,1,,1,11.32,1/1,,,,,,,"Parkirno mesto v kleti objekta na naslovu Barjanska cesta 62, Ljubljana.",1242002 - garaža v garažni hiši,klet,,11.3,11.3,-,,,461237.97,99820.92,2018,61
252065,1735,STOŽICE,LJUBLJANA,3639,20,,,1,LJUBLJANA,ULICA KOROŠKEGA BATALJONA,22,,20,2,2009,1,,1,124.5,1/1,,,,1,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,,,124.5,98.6, Odprt balkon | Odprta terasa,,,463058.96,106448.29,2018,61
252065,1735,STOŽICE,LJUBLJANA,3641,98,,,1,,,,,,14,2009,1,,1,5.4,1/1,,,,,,,,1274003 - Klet,klet,,5.4,5.4,-,,,463064.09,106515.92,2018,61
252065,1735,STOŽICE,LJUBLJANA,3641,189,,,1,,,,,,3,2009,1,,1,12.5,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,12.5,12.5,-,,,463064.09,106515.92,2018,61
252065,1735,STOŽICE,LJUBLJANA,3641,190,,,1,,,,,,3,2009,1,,1,12.5,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,12.5,12.5,-,,,463064.09,106515.92,2018,61
251102,1738,DRAVLJE,LJUBLJANA,3318,190,,,1,,,,,,14,2008,1,,1,5.9,1/1,,,,,,,,1274003 - Klet,klet,,5.9,5.9,-,,,459088.93,104101.02,2018,61
251102,1738,DRAVLJE,LJUBLJANA,3318,91,,,1,,,,,,3,2008,1,,1,13.4,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,13.4,13.4,-,,,459088.93,104101.02,2018,61
251102,1738,DRAVLJE,LJUBLJANA,3318,12,,,1,LJUBLJANA,LEDARSKA ULICA,3,,12,2,2008,1,,1,75.8,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,84.6,75.8, Odprt balkon,,,459088.93,104101.02,2018,61
255979,1738,DRAVLJE,LJUBLJANA,1351,72,,,1,LJUBLJANA,DEVOVA ULICA,5,,,5,1980,1,,0,75,"2823/100000 na nepremičninah z ID znakom: 1738-440/8, 1738-440/12, 1738-440/29, 1738-440/30, 1738-440/36, 1738-440/39 in -delež 3068/100000 na  nepremičnini z ID znakom 1738-440/9",,,,,,,"Enota 72 zemljiško knjižno opredeljena kot : -delež 2823/100000 na nepremičninah z ID znakom: 1738-440/8, 1738-440/12, 1738-440/29, 1738-440/30, 1738-440/36, 1738-440/39 in -delež 3068/100000 na  nepremičnini z ID znakom 1738-440/9",1220301 - Poslovni prostori,,,,,-,,,459604.56,105281.26,2018,61
255982,1738,DRAVLJE,LJUBLJANA,1351,72,,,1,LJUBLJANA,DEVOVA ULICA,5,,72,5,1980,1,,0,75,2823/100000,,,3,,,,"Enota 72 zemljiško knjižno opredeljena kot : -delež 2823/100000 na nepremičninah z ID znakom: 1738-440/8, 1738-440/12, 1738-440/29, 1738-440/30, 1738-440/36, 1738-440/39 in -delež 3068/100000 na  nepremičnini z ID znakom 1738-440/9,",1220301 - Poslovni prostori,nadstropje,,73.6,73.6,-,,,459604.56,105281.26,2018,61
251106,1756,ČRNUČE,LJUBLJANA,1988,9,,,1,LJUBLJANA,CESTA CENETA ŠTUPARJA,148,,9,2,2002,1,,1,7.9,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,9.7,7.9,-,,,463959.63,107505.71,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,1,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,1,6,1650,0,5,0,60.5,1/1,,,,,,,,1230104 - Prodajalna,drugo,,60.5,60.5,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,2,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,2,6,1650,0,5,0,86.6,1/1,,,,,,,,1230104 - Prodajalna,pritličje,,86.6,86.6,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,3,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,3,6,1650,0,5,0,204.8,1/1,,,,,,,,1230104 - Prodajalna,pritličje,,204.8,204.8,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,4,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,4,6,1650,0,5,0,248.5,1/1,,,2,,,,,1220301 - Poslovni prostori,nadstropje,,248.5,248.5,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,5,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,5,6,1650,0,5,0,232.4,1/1,,,,,,,,1220301 - Poslovni prostori,drugo,,232.4,232.4,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,6,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,6,6,1650,0,5,0,66.5,1/1,,,,,,,,1220301 - Poslovni prostori,drugo,,66.5,66.5,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,7,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,7,6,1650,0,5,0,2.7,1/1,,,,,,,,13 - Skupna raba,,,2.7,,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,8,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,8,6,1650,0,5,0,7.3,1/1,,,,,,,,13 - Skupna raba,,,7.3,,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,9,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,9,6,1650,0,5,0,7,1/1,,,,,,,,13 - Skupna raba,,,7,,-,,,461694.83,101545.82,2018,61
298897,1725,AJDOVŠČINA,LJUBLJANA,405,10,,,1,LJUBLJANA,NAZORJEVA ULICA,6,,10,6,1650,0,5,0,94.5,1/1,,,,,,,,13 - Skupna raba,,,94.5,,-,,,461694.83,101545.82,2018,61
306975,1725,AJDOVŠČINA,LJUBLJANA,322,24,,,1,LJUBLJANA,TAVČARJEVA ULICA,4,,24,8,1905,1,,,42,1/1,,,2,,,,,1230104 - Prodajalna,pritličje,,41.7,41.7,-,,,461729.33,101771.89,2018,61
382474,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,399,205,,,1,LJUBLJANA,PRUŠNIKOVA ULICA,62,,305,2,1969,1,,,28,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,27.7,24.6, bivalni prostor | klet,,,458913.04,106337.5,2018,61
382475,1735,STOŽICE,LJUBLJANA,3629,71,,,1,LJUBLJANA,DUNAJSKA CESTA,185,,,4,2009,1,,,13,1/1,,,,,,,,1242002 - garaža v garažni hiši,klet,,12.6,12.6, garaža,,,462381.14,105256.33,2018,61
382475,1735,STOŽICE,LJUBLJANA,3629,35,,,1,LJUBLJANA,DUNAJSKA CESTA,185,,,14,2009,1,,,3,1/1,,,,,,,,1274003 - Klet,klet,,3.1,3.1, klet,,,462381.14,105256.33,2018,61
382475,1735,STOŽICE,LJUBLJANA,3629,6,,,1,LJUBLJANA,DUNAJSKA CESTA,185,,6,2,2009,1,,,68,1/1,,,,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,2,67.6,47.2," bivalni prostor | zaprta terasa, balkon, loža",,,462381.14,105256.33,2018,61
382477,1725,AJDOVŠČINA,LJUBLJANA,303,1,,,1,LJUBLJANA,GOSPOSVETSKA CESTA,7,,1,2,1858,1,,,24,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,24.3,24.3, bivalni prostor | klet,,,461556.23,101819.49,2018,61
382478,1735,STOŽICE,LJUBLJANA,585,16,,,1,LJUBLJANA,BRATOVŠEVA PLOŠČAD,15,,16,2,1975,1,,,49,1/1,,,4,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,48.8,37.7," bivalni prostor | klet | odprta terasa, balkon, loža",,,462182.39,105559.72,2018,61
382490,1727,POLJANSKO PREDMESTJE,LJUBLJANA,274,3,,,1,LJUBLJANA,POLJANSKA CESTA,18,,3,2,1895,1,,,91,1/1,,,,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,3,91.4,78.8," bivalni prostor | klet | odprta terasa, balkon, loža | zaprta terasa, balkon, loža",,,462496.38,101256.71,2018,61
382490,1727,POLJANSKO PREDMESTJE,LJUBLJANA,274,20,,,1,,,,,,14,1895,1,,,5,1/1,,,,,,,,1274015 - Shramba,klet,,4.6,4.6," shramba, sušilnica, pralnica",,,462496.38,101256.71,2018,61
382490,1727,POLJANSKO PREDMESTJE,LJUBLJANA,274,16,,,1,,,,,,14,1895,1,,,13,1/1,,,,,,,,1274015 - Shramba,klet,,12.6,12.6," shramba, sušilnica, pralnica",,,462496.38,101256.71,2018,61
383064,1756,ČRNUČE,LJUBLJANA,2620,36,,,1,LJUBLJANA,CESTA 24. JUNIJA,39,,9,15,2000,1,,,6,1/1,,,,,,,,1274003 - Klet,klet,,6.1,6.1, klet,,,463515.65,106287.05,2018,61
382515,1730,MOSTE,LJUBLJANA,1044,8,,,1,LJUBLJANA,KAJUHOVA ULICA,34,A,4,14,1973,1,,,4,1/1,,,,,,,,1274003 - Klet,klet,,3.8,3.8, klet,,,464404.49,102127.07,2018,61
382515,1730,MOSTE,LJUBLJANA,1044,7,,,1,LJUBLJANA,KAJUHOVA ULICA,34,A,4,2,1973,1,,,45,1/1,,,,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,2,45,39.4," bivalni prostor | zaprta terasa, balkon, loža",,,464404.49,102127.07,2018,61
383109,2636,BEŽIGRAD,LJUBLJANA,2189,14,,,1,LJUBLJANA,VOJKOVA CESTA,9,,14,2,1964,1,,,26,1/1,,,2,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,25.5,22.6, bivalni prostor | klet,,,462454.09,103075.47,2018,61
383112,2680,NOVE JARŠE,LJUBLJANA,87,30,,,1,LJUBLJANA,ULICA GRADNIKOVE BRIGADE,11,,30,15,1977,1,,,8,10669/100000,,,5,,,,,"1220201 - Banka, pošta, zavarovalnica",nadstropje,,8,8, poslovni prostor,,,464737.15,103710.06,2018,61
383112,2680,NOVE JARŠE,LJUBLJANA,87,29,,,1,LJUBLJANA,ULICA GRADNIKOVE BRIGADE,11,,29,5,1977,1,,,18,1/1,,,5,,,,,"1220201 - Banka, pošta, zavarovalnica",nadstropje,,18.2,18.2, poslovni prostor,,,464737.15,103710.06,2018,61
383135,2636,BEŽIGRAD,LJUBLJANA,7797,27,,,1,LJUBLJANA,ŠTIHOVA ULICA,19,,,14,1989,1,,,60,1/1,,,,,,,,1242003 - Pokrito parkirišče,drugo,,59.6,59.6, parkirni prostor,,,462407.83,102671.68,2018,61
383135,2636,BEŽIGRAD,LJUBLJANA,7797,75,,,1,LJUBLJANA,ŠTIHOVA ULICA,19,,45,3,1989,1,,,13,1/1,,,,,,,,1242003 - Pokrito parkirišče,klet,,12.5,12.5, parkirni prostor,,,462407.83,102671.68,2018,61
383135,2636,BEŽIGRAD,LJUBLJANA,7797,20,,,1,LJUBLJANA,ŠTIHOVA ULICA,19,,601,8,1989,1,,,26,1/1,,,,,,,,1220301 - Poslovni prostori,pritličje,,25.5,25.5, poslovni prostor,,,462407.83,102671.68,2018,61
375239,1723,VIČ,LJUBLJANA,5213,3,,,1,LJUBLJANA,REŠKA ULICA,23,,3,2,1975,1,,,32,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,32.3,28.2," bivalni prostor | klet | odprta terasa, balkon, loža",,,459188.58,99928.08,2018,61
375240,1728,LJUBLJANA MESTO,LJUBLJANA,109,8,,,1,LJUBLJANA,MESTNI TRG,10,,21,2,1500,1,,,32,1/1,,,,,,,,1280001 - Ruševina,mansarda,,31.7,0, ruševina,,,461819.27,101107.62,2018,61
375244,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,265,1,,,1,LJUBLJANA,FILIPIČEVA ULICA,3,,,1,1938,1,,,265,1/1,,,,1,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,5,264.7,194.8," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,460849.86,100254.71,2018,61
375252,2680,NOVE JARŠE,LJUBLJANA,343,175,,,1,LJUBLJANA,KVEDROVA CESTA,5,,75,2,1970,1,,,66,1/1,,,11,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,65.8,58.3," bivalni prostor | klet | odprta terasa, balkon, loža",,,464628.54,103506.69,2018,61
375292,1755,GLINCE,LJUBLJANA,374,1,,,1,,,,,,13,1937,1,,,27,1/1,,,,,,,,1271301 - Prostor za spravilo pridelka,pritličje,,27,27, kmetijski prostor,,,456893.98,104952.18,2018,61
375691,2636,BEŽIGRAD,LJUBLJANA,2945,37,,,1,LJUBLJANA,ČRTOMIROVA ULICA,22,,37,2,1968,1,,,32,1/1,,,4,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,31.8,23.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,462690.72,102728.25,2018,61
375703,1738,DRAVLJE,LJUBLJANA,281,1,,,1,LJUBLJANA,REGENTOVA CESTA,21,,,1,1960,1,,,177,1/1,,,1,2,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,nadstropje,4,176.8,144.8," bivalni prostor | odprta terasa, balkon, loža | zaprta terasa, balkon, loža",,,459058.9,104520.37,2018,61
