ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
239327,1756,ČRNUČE,LJUBLJANA,898/29,6,,,1,,262,,,463974.79,106621.38,2016,61
239327,1756,ČRNUČE,LJUBLJANA,898/40,6,,,1,,120,,,463960.68,106653.65,2016,61
240066,2636,BEŽIGRAD,LJUBLJANA,9/17,5,,,1/1,,126,,,461927.54,104117.62,2016,61
240066,2636,BEŽIGRAD,LJUBLJANA,9/19,5,,,1/1,,5,,,461955.81,104157.5,2016,61
240207,1738,DRAVLJE,LJUBLJANA,1653/66,5,,,1/1,,920,,,460138.23,104746.72,2016,61
240230,1995,PODSMREKA,LJUBLJANA,201/78,5,,,1/1,,275,,,456561.4,99023.56,2016,61
240230,1995,PODSMREKA,LJUBLJANA,201/79,5,,,1/1,,691,,,456502.62,99007.16,2016,61
240230,1995,PODSMREKA,LJUBLJANA,201/218,5,,,1/1,,2605,,,456530.34,99002.99,2016,61
240669,1738,DRAVLJE,LJUBLJANA,58/10,3,,,1/2,,168,,,459734.78,105593.98,2016,61
240669,1738,DRAVLJE,LJUBLJANA,58/9,3,,,1/2,,125,,,459723.33,105610.94,2016,61
240669,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,730/6,3,,,1/1,,3,,,459633.5,105722.47,2016,61
240669,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,845,3,,,71/5000,,4963,,,459659.58,105637.3,2016,61
240669,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,846/4,3,,,1/1,,55,,,459627.5,105701.11,2016,61
240669,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,848/5,3,,,2/5,,1057,,,459589.64,105646.36,2016,61
240669,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,847,3,,,1/1,,12,,,,,2016,61
240669,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,848/14,3,,,1/2,,92,,,459714.78,105623.57,2016,61
240669,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,848/17,3,,,4134/10000,,186,,,459586.16,105674.91,2016,61
240669,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,848/18,3,,,4134/10000,,27,,,459625.41,105704.57,2016,61
240669,1756,ČRNUČE,LJUBLJANA,902/40,3,,,1/1,,91,,,464100.83,106710.41,2016,61
240669,1756,ČRNUČE,LJUBLJANA,902/12,3,,,1/1,,30,,,464101.36,106704.42,2016,61
240669,1756,ČRNUČE,LJUBLJANA,902/9,3,,,1/100,,1778,,,464198.07,106785.98,2016,61
240669,1756,ČRNUČE,LJUBLJANA,902/39,3,,,1/100,,43,,,464121.1,106718.32,2016,61
241738,1730,MOSTE,LJUBLJANA,127/193,5,,,1/1,,921,,,465868.07,102500.26,2016,61
241738,1730,MOSTE,LJUBLJANA,127/185,5,,,1/1,,834,,,465833.52,102499.79,2016,61
241966,1775,SOSTRO,LJUBLJANA,424/1,1,,,1/1,,1312,,,469920.51,99686.25,2016,61
242183,1736,BRINJE I,LJUBLJANA,202/5,2,,,745/5739,,512,,,462318.16,104783.81,2016,61
242183,1736,BRINJE I,LJUBLJANA,202/6,5,,,745/5739,,697,,,462311.2,104784.23,2016,61
242183,1736,BRINJE I,LJUBLJANA,202/4,6,,,745/5739,,62,,,462329.23,104792.96,2016,61
242199,1736,BRINJE I,LJUBLJANA,202/5,2,,,624/5739,,512,,,462318.16,104783.81,2016,61
