ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
253734,1772,SLAPE,LJUBLJANA,1787,56,,,1,LJUBLJANA,RUSJANOV TRG,8,,56,1,1987,1,,,53,1/1,,,5,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,2,53.4,43.3," Klet, shramba | Odprt balkon",,,466158.76,101585.36,2016,61
253743,1752,STANEŽIČE,LJUBLJANA,516,1,,,1,STANEŽIČE,STANEŽIČE,32,A,,1,1980,1,,,205,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,4,205,103.8," Garaža | Klet, shramba | Kurilnica | Nedokončani prostori | Odprt balkon | Podstrešje | Stopnišče",,,456385.87,107990.57,2016,61
253743,1752,STANEŽIČE,LJUBLJANA,522,1,,,1,,,,,,1,1930,1,,,20,1/1,,,,,,,,1271401 - Drug kmetijski del stavbe,pritličje,,20.3,18,-,,,456379.57,107987.9,2016,61
253753,1738,DRAVLJE,LJUBLJANA,1443,16,,,1,LJUBLJANA,CELOVŠKA CESTA,287,,16,2,1974,1,,,28,1/1,,,1,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,1,28,28," Klet, shramba",,,459429.16,105175.89,2016,61
253762,1736,BRINJE I,LJUBLJANA,11,5,,,1,LJUBLJANA,ULICA PADLIH BORCEV,37,,5,2,2008,1,,,112,1/1,,,1,1,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,112,84.8," Klet, shramba | Odprt balkon",,,461985.19,105120.83,2016,61
253769,1723,VIČ,LJUBLJANA,2820,15,,,1,LJUBLJANA,VRHOVNIKOVA ULICA,11,,3,2,1962,1,,,71,1/1,,,2,1,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,3,71.4,65.6, Odprt balkon | Stopnišče,,,460299.33,100513.39,2016,61
253769,1723,VIČ,LJUBLJANA,2820,16,,,1,LJUBLJANA,VRHOVNIKOVA ULICA,11,,3,14,1962,1,,,14,1/1,,,2,,,,,1274003 - Klet,klet,,14.1,14.1,-,,,460299.33,100513.39,2016,61
253773,1736,BRINJE I,LJUBLJANA,157,1,,,1,LJUBLJANA,NADE OVČAKOVE ULICA,22,,,2,1964,1,,,106,1/1,,,,,,,,"1110002 - Stanovanje, ki se nahaja v krajni vrstni hiši",pritličje,3,105.9,75.3," Garderoba | Klet, shramba | Kurilnica | Stopnišče",,,462134.66,104953.39,2016,61
253773,1736,BRINJE I,LJUBLJANA,170,1,,,1,,,,,,4,1964,1,,,16,1/1,,,,,,,,1230104 - Prodajalna,pritličje,,16,16,-,,,462151.15,104949.85,2016,61
253793,1730,MOSTE,LJUBLJANA,1705,136,,,1,LJUBLJANA,PREGLOV TRG,11,,136,2,1985,1,,,75,1/1,,,12,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,nadstropje,3,75,62.6," Klet, shramba | Odprta loža",,,465769.27,101552.41,2016,61
