ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
219997,5,18.02.2016,04.12.2007,647148.84,1,2,21.05.2015,21.05.2015,,,18.02.2016,18.02.2016,1,4,2016,61
235852,1,21.06.2016,05.11.2015,85000,0,,,,,0,15.04.2025,21.06.2016,1,4,2016,61
272048,1,14.07.2016,15.06.2016,195000,0,,,,5692,1,15.04.2025,14.07.2016,1,1,2016,61
272050,1,14.07.2016,15.06.2016,165000,0,,,,n5763/16,0,15.04.2025,14.07.2016,1,1,2016,61
272051,1,14.07.2016,15.06.2016,145000,0,,,,5678/16,0,15.04.2025,14.07.2016,1,2,2016,61
272057,1,14.07.2016,07.06.2016,65000,0,,,,5686/2016,1,15.04.2025,14.07.2016,1,1,2016,61
272500,1,14.07.2016,25.05.2016,55000,0,,,,5441/16,0,15.04.2025,14.07.2016,1,1,2016,61
272507,1,14.07.2016,26.05.2016,6200,0,,,,PV 5507/2016,1,15.04.2025,14.07.2016,1,2,2016,61
272510,1,14.07.2016,31.05.2016,6966.6,0,,,,PV 5115/2016,0,15.04.2025,14.07.2016,1,3,2016,61
272511,1,14.07.2016,08.06.2016,74000,0,,,,N 5495/2016,0,15.04.2025,14.07.2016,1,1,2016,61
272515,1,14.07.2016,05.06.2016,181000,0,,,,5288/16,0,15.04.2025,14.07.2016,1,4,2016,61
272521,1,14.07.2016,13.05.2016,15000,0,,,,5328,1,15.04.2025,14.07.2016,1,1,2016,61
272523,1,14.07.2016,01.06.2016,100002,0,,,,,0,15.04.2025,14.07.2016,1,2,2016,61
272533,4,14.07.2016,26.05.2016,50000,0,,,,N 5457/2016,0,14.07.2016,14.07.2016,1,4,2016,61
264165,1,17.05.2016,30.03.2016,80000,0,,,,2951/16,1,15.04.2025,17.05.2016,1,1,2016,61
264167,1,17.05.2016,29.03.2016,92000,0,,,,DPN 2917,1,15.04.2025,17.05.2016,1,2,2016,61
272059,1,14.07.2016,14.06.2016,320000,0,,,,5697/16,1,15.04.2025,14.07.2016,1,1,2016,61
272060,1,14.07.2016,09.06.2016,115000,0,,,,5539/16,0,15.04.2025,14.07.2016,1,1,2016,61
272062,1,14.07.2016,14.06.2016,106000,0,,,,5673/16,0,15.04.2025,14.07.2016,1,1,2016,61
272064,1,14.07.2016,14.06.2016,84000,0,,,,5667/16,0,15.04.2025,14.07.2016,1,1,2016,61
272066,1,14.07.2016,13.06.2016,37000,0,,,,N 5630/2016,1,15.04.2025,14.07.2016,1,1,2016,61
272077,1,14.07.2016,14.06.2016,10000,0,,,,N 5695/2016,0,15.04.2025,14.07.2016,1,1,2016,61
272081,1,14.07.2016,15.06.2016,70000,0,,,,n 5742,0,15.04.2025,14.07.2016,1,1,2016,61
273105,1,14.07.2016,02.06.2016,78000,0,,,,pv/5154/2016,1,15.04.2025,14.07.2016,1,1,2016,61
273114,1,14.07.2016,01.06.2016,52000,0,,,,5110/16,1,15.04.2025,14.07.2016,1,1,2016,61
273120,1,14.07.2016,01.06.2016,82000,0,,,,PV 5196/2016,1,15.04.2025,14.07.2016,1,1,2016,61
273124,4,14.07.2016,25.05.2016,1000,0,,,,DPN,0,14.07.2016,14.07.2016,1,4,2016,61
273133,1,14.07.2016,02.06.2016,292000,0,,,,PV 5205/2016,1,15.04.2025,14.07.2016,1,2,2016,61
273139,1,14.07.2016,31.05.2016,74,0,,,,PV 5222/2016,0,15.04.2025,14.07.2016,1,3,2016,61
272540,1,14.07.2016,07.06.2016,96000,0,,,,5403,1,15.04.2025,14.07.2016,1,1,2016,61
