ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
647792,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1381,6,,,1/1,,12,,,463152.79,98675.02,2023,61
647792,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1382,6,,,1/1,,13,,,463151.23,98672.82,2023,61
655382,1770,KAŠELJ,LJUBLJANA,1411/28,5,,,1/1,,308,,,468971.51,101560.16,2023,61
655383,1770,KAŠELJ,LJUBLJANA,1411/41,5,,,1/1,,206,,,468960.08,101570.14,2023,61
655383,1770,KAŠELJ,LJUBLJANA,1411/25,6,,,1/1,,18,,,468994.11,101598.23,2023,61
655384,1770,KAŠELJ,LJUBLJANA,1411/42,5,,,1/1,,210,,,468959.48,101576.7,2023,61
655384,1770,KAŠELJ,LJUBLJANA,1411/26,6,,,1/1,,19,,,468994.19,101594.53,2023,61
655387,1770,KAŠELJ,LJUBLJANA,1411/38,5,,,1/1,,211,,,468959.85,101582.95,2023,61
655395,1770,KAŠELJ,LJUBLJANA,1411/21,5,,,1/1,,212,,,468971.17,101620.93,2023,61
673912,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,753/23,1,,,1/1,,,,,,,2023,61
673912,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,753/24,1,,,1/1,,,,,,,2023,61
673912,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,753/26,1,,,1/1,,,,,,,2023,61
673912,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,753/25,1,,,1/3,,,,,,,2023,61
673922,1994,DOBROVA,LJUBLJANA,1930/25,1,,,1/1,,,,,,,2023,61
674962,1723,VIČ,LJUBLJANA,2336/6,5,,,1/1,,133,,,458947.22,101063.63,2023,61
675982,1755,GLINCE,LJUBLJANA,123/6,3,,,1/1,,,,,,,2023,61
675982,1755,GLINCE,LJUBLJANA,1053/11,3,,,1/1,,,,,,,2023,61
675982,1755,GLINCE,LJUBLJANA,1053/5,3,,,1/1,,15,,,457065.72,104057.4,2023,61
676125,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,753/22,3,,,1/1,,,,,,,2023,61
676125,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,753/25,3,,,1/6,,,,,,,2023,61
676422,1733,BIZOVIK,LJUBLJANA,126/2,3,,,1/1,,,,,,,2023,61
676640,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,355/42,3,,,1/1,,147,,,460617.58,99714.3,2023,61
676640,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,355/91,3,,,1/1,,,,,,,2023,61
676640,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,355/89,3,,,1/1,,,,,,,2023,61
677262,1749,GAMELJNE,LJUBLJANA,697/23,5,,,1/1,,,,,,,2023,61
677958,1749,GAMELJNE,LJUBLJANA,645/3,5,,,1/1,,,,,,,2023,61
678204,1723,VIČ,LJUBLJANA,2336/4,5,,,1/1,,115,,,458912.08,101075.88,2023,61
678205,1723,VIČ,LJUBLJANA,2336/3,5,,,1/1,,119,,,458895.12,101081.69,2023,61
678838,1723,VIČ,LJUBLJANA,1106/15,1,,,1/1,,136,,,459219.57,100545.77,2023,61
678838,1723,VIČ,LJUBLJANA,1106/16,1,,,1/1,,112,,,459220.9,100555.1,2023,61
678923,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,309/10,1,,,1/21,,196,,,460926.28,99907.6,2023,61
678929,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1091/1,5,,,1/2,,824,,,458675.58,104877.52,2023,61
678936,1757,NADGORICA,LJUBLJANA,344,9,,,532/6841,,6841,,,466428.11,107763.09,2023,61
678945,1735,STOŽICE,LJUBLJANA,2003/3,9,,,1/1,,3828,,,463911.76,105700.71,2023,61
678960,1702,TOMIŠELJ,LJUBLJANA,1989,7,,,2/6,,4490,,,458129.77,93671.31,2023,61
678964,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,385/9,5,,,1/1,,604,,,463155.88,99128.43,2023,61
678964,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,385/318,3,,,1/50,,55,,,463146.75,99128.79,2023,61
678964,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,385/111,3,,,1/1,,420,,,463051.13,99011.59,2023,61
678965,1756,ČRNUČE,LJUBLJANA,112/14,3,,,1/1,,76,,,463779.81,107265.88,2023,61
679004,1739,ZGORNJA ŠIŠKA,LJUBLJANA,490,5,,,1/3,,1031,,,459905.01,103393.05,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,*67,5,,,1/1,,213,,,470416.2,97069.91,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,406/11,5,,,1/1,,175,,,470376.54,97057.66,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,406/10,5,,,1/1,,1558,,,470411.09,97050.54,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,405,7,,,1/1,,5790,,,470517.54,97084.02,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,421,7,,,1/1,,1415,,,470273.76,97307.93,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,423,7,,,1/1,,2513,,,470314.49,97325.53,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,424,7,,,1/1,,2478,,,470344.86,97336.71,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,434/1,7,,,1/1,,2858,,,470426.15,97158.94,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,434/2,7,,,1/1,,998,,,470476.44,97147.31,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,410/1,7,,,1/1,,3123,,,470435.92,97078.78,2023,61
679025,1774,PODMOLNIK,LJUBLJANA,409,7,,,1/1,,271,,,470451.45,97092.68,2023,61
679055,1738,DRAVLJE,LJUBLJANA,428,5,,,216/100000,,1919,,,459580.21,105172.65,2023,61
679055,1738,DRAVLJE,LJUBLJANA,432,5,,,216/100000,,1438,,,459572.31,105208.2,2023,61
679067,1770,KAŠELJ,LJUBLJANA,1464/8,5,,,1/1,,808,,,468642.8,101769.35,2023,61
679088,1729,ŠMARTNO OB SAVI,LJUBLJANA,251/5,6,,,1/1,,152,,,465375.85,104313.46,2023,61
679111,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,243/891,6,,,1/1,,32,,,463695.17,98635.13,2023,61
679111,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,243/820,6,,,1/1,,13,,,463700.97,98640.74,2023,61
679156,1759,PODGORICA,LJUBLJANA,47/1,5,,,1/1,,479,,,467900.55,106347.4,2023,61
679164,1770,KAŠELJ,LJUBLJANA,1427/23,1,,,1/1,,18,,,468807.51,101627.04,2023,61
679166,1755,GLINCE,LJUBLJANA,836/31,5,,,3/4,,15,,,457756.62,103810.27,2023,61
679168,1738,DRAVLJE,LJUBLJANA,432,5,,,219/100000,,1438,,,459572.31,105208.2,2023,61
679168,1738,DRAVLJE,LJUBLJANA,428,5,,,219/100000,,1919,,,459580.21,105172.65,2023,61
679171,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1132,5,,,1/1,,592,,,458921.37,103375.57,2023,61
679173,1776,LIPOGLAV,LJUBLJANA,934/2,9,,,1/1,,2335,,,470450.83,95190.58,2023,61
679203,1735,STOŽICE,LJUBLJANA,1160/4,1,,,1/1,,25,,,463854.78,104676.47,2023,61
679206,1723,VIČ,LJUBLJANA,1197,5,,,1/2,,644,,,459075.5,100927.16,2023,61
679215,1728,LJUBLJANA MESTO,LJUBLJANA,*44,5,,,7/200,,312,,,461925.63,100888.98,2023,61
679248,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,258/2,1,,,1912/3964,,991,,,459012.85,106604.85,2023,61
679248,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,258/3,1,,,960/2880,,720,,,459025.06,106595.08,2023,61
679248,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,259/2,1,,,5362/11488,,2872,,,459079.69,106690.33,2023,61
679248,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,259/3,1,,,3590/10788,,2697,,,459093.84,106681.98,2023,61
679280,1738,DRAVLJE,LJUBLJANA,1713/38,5,,,29/10000,,4014,,,459938.77,105255.96,2023,61
679290,1755,GLINCE,LJUBLJANA,505/15,3,,,1/1,,332,,,457531.35,104952.38,2023,61
679290,1755,GLINCE,LJUBLJANA,505/34,5,,,1/1,,332,,,457519.58,104957.32,2023,61
679333,1739,ZGORNJA ŠIŠKA,LJUBLJANA,528/2,5,,,1/2,,24,,,460147.41,103841.19,2023,61
679340,1734,JEŽICA,LJUBLJANA,991/2,7,,,1/1,,859,,,461812.12,106036.97,2023,61
679351,1731,UDMAT,LJUBLJANA,187/1,5,,,112/600,,96,,,463687.57,101945.42,2023,61
679352,1752,STANEŽIČE,LJUBLJANA,343/1,9,,,1/1,,358,,,457891.27,106770.79,2023,61
679353,1723,VIČ,LJUBLJANA,742/7,3,,,1/36,,451,,,460268.6,100698.04,2023,61
679353,1723,VIČ,LJUBLJANA,742/11,3,,,1/36,,26,,,460224.41,100734.59,2023,61
679353,1723,VIČ,LJUBLJANA,742/12,3,,,1/36,,33,,,460250.17,100744,2023,61
679353,1723,VIČ,LJUBLJANA,742/22,3,,,1/36,,3,,,460209.19,100731.2,2023,61
679353,1723,VIČ,LJUBLJANA,742/23,3,,,1/36,,53,,,460245.79,100751.9,2023,61
679353,1723,VIČ,LJUBLJANA,742/21,3,,,1/36,,79,,,460220.64,100734.15,2023,61
679463,1771,ZADOBROVA,LJUBLJANA,74/1,7,,,1/1,,798,,,468305.45,103925.51,2023,61
679463,1771,ZADOBROVA,LJUBLJANA,74/2,7,,,1/1,,799,,,468261.88,103912.59,2023,61
679463,1771,ZADOBROVA,LJUBLJANA,74/3,7,,,1/1,,7904,,,468264.32,103959.22,2023,61
679466,1755,GLINCE,LJUBLJANA,1499/8,5,,,1/1,,17,,,457189.8,103892.3,2023,61
679478,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,1000/92,6,,,1/1,,26,,,461490.36,98190.1,2023,61
