ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
682662,1723,VIČ,LJUBLJANA,9921,63,,,1,,,,,,3,2014,1,,,12,1/1,,,,,,,,16 - Garažno parkirno mesto,klet,,12,12, garažni parkirni prostor,,,458351.6,100503.05,2023,61
681845,1723,VIČ,LJUBLJANA,10207,6,,,1,LJUBLJANA,VEČNA POT,31,,6,2,2021,1,,1,151.9,1114/10000,,,,,,,,2 - Stanovanje,nadstropje,,151.9,110.3," bivalni prostor | garaža | klet | odprta terasa, balkon, loža",,,459684.1,101358.52,2023,61
684057,1731,UDMAT,LJUBLJANA,844,103,,,1,LJUBLJANA,ROJČEVA ULICA,7,,103,2,1961,1,,,70,1/1,,,,,,,,2 - Stanovanje,nadstropje,,69.6,66, bivalni prostor | klet,,,463816.06,101987.42,2023,61
792085,1740,SPODNJA ŠIŠKA,LJUBLJANA,1546,1,,,1,LJUBLJANA,LEPODVORSKA ULICA,1,,1,2,1938,1,,,80.6,1/1,,,,,0,,,2 - stanovanje,klet,,80.6,65.8, bivalni prostor | klet,,,460985.19,102643.2,2023,61
751853,1737,TABOR,LJUBLJANA,988,50,,,1,LJUBLJANA,KOTNIKOVA ULICA,30,,,3,2001,1,,,13,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,12.6,12.6, garažni parkirni prostor,,,462435.61,102015.11,2023,61
735760,1739,ZGORNJA ŠIŠKA,LJUBLJANA,514,1,,,1,,,,,,4,1967,1,,,14,1/1,,,,,0,,,15 - garaža,pritličje,,13.5,13.5, garaža,,,460341.14,104136.54,2023,61
746344,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,648,2,,,1,LJUBLJANA,DOLENJSKA CESTA,74,,2,6,1936,1,,,243,35/100,,,,,0,,,12 - del stavbe za opravljanje storitev,pritličje,,242.9,188.5," lokal, prodajalna",,,463034.32,99691.28,2023,61
737476,1721,GRADIŠČE I,LJUBLJANA,170,9,,,1,LJUBLJANA,PREŠERNOVA CESTA,3,,9,2,1898,1,,,128,1/1,,,,,0,,,2 - stanovanje,nadstropje,,128.4,88.2," bivalni prostor | odprta terasa, balkon, loža",,,461040.92,101067.28,2023,61
743455,1738,DRAVLJE,LJUBLJANA,3296,300,,,1,LJUBLJANA,TRG KOMANDANTA STANETA,9,,300,2,2008,1,,,85,1/2,,,,,0,,,2 - stanovanje,nadstropje,,85,75.8, bivalni prostor,,,459898.18,104169.36,2023,61
738595,1737,TABOR,LJUBLJANA,1007,117,,,1,,,,,117,3,2004,1,,,13,1/1,,,,,0,,,15 - garaža,,,12.7,12.7, garaža,,,462333.1,102020.14,2023,61
