ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
-460383,1,18.02.2010,07.10.2009,152000,0,,,,,,23.07.2015,18.02.2010,1,4,2010,61
-460602,1,11.01.2010,10.09.2009,99200,0,,,,ZOBOZDRAVSTVO,,23.07.2015,11.01.2010,1,4,2010,61
-466490,1,24.05.2010,26.10.2009,130000,0,,,,,,23.07.2015,24.05.2010,1,4,2010,61
-474255,1,07.01.2010,16.12.2009,160000,0,,,,,,23.07.2015,07.01.2010,1,4,2010,61
-467562,1,05.01.2010,18.11.2009,130000,0,,,,,,23.07.2015,05.01.2010,1,4,2010,61
-467309,1,08.01.2010,23.11.2009,131000,0,,,,,,23.07.2015,08.01.2010,1,4,2010,61
-474361,1,11.01.2010,09.11.2009,22000,0,,,,"NA ZEMLJIŠČU STOJI NEBIVALEN MONTAŽNI OBJEKT, LEGALIZIRAN PO UREDBI, POTREBEN KOMPLETNE SANACIJE  ODDOBRITEV PRAVNEGA POSLA S STRANI EU MOSTE POLJE, DNE: 07.12.2009",,23.07.2015,11.01.2010,1,4,2010,61
-474375,1,11.01.2010,13.10.2009,276500,1,,,,,,23.07.2015,11.01.2010,1,4,2010,61
-474388,1,12.01.2010,17.12.2009,105000,1,,,,,,23.07.2015,12.01.2010,1,4,2010,61
-474392,1,12.01.2010,12.01.2010,125000,0,,,,,,23.07.2015,12.01.2010,1,4,2010,61
-474393,1,12.01.2010,08.01.2010,100000,0,,,,prodaja se 2 sobno stanovanje v Polju,,23.07.2015,12.01.2010,1,4,2010,61
-474401,1,12.01.2010,04.01.2010,212500,0,,,,,,23.07.2015,12.01.2010,1,4,2010,61
-474601,1,17.01.2010,31.08.2009,28300,0,,,,,,23.07.2015,17.01.2010,1,4,2010,61
-474603,1,17.01.2010,04.09.2009,112700,0,,,,,,23.07.2015,17.01.2010,1,4,2010,61
-474466,1,13.01.2010,15.07.2009,148000,0,,,,,,23.07.2015,13.01.2010,1,4,2010,61
-474480,1,14.01.2010,14.12.2009,28500,1,,,,,,23.07.2015,14.01.2010,1,4,2010,61
-466924,1,14.10.2010,18.08.2009,50400,0,,,,,,17.12.2019,14.10.2010,1,4,2010,61
-474614,1,17.01.2010,08.10.2009,20000,0,,,,,,23.07.2015,17.01.2010,1,4,2010,61
-474615,1,17.01.2010,14.10.2009,250000,0,,,,,,23.07.2015,17.01.2010,1,4,2010,61
-479678,1,19.01.2010,04.01.2010,140000,0,,,,,,23.07.2015,19.01.2010,1,4,2010,61
-479682,1,20.01.2010,06.01.2010,175000,0,,,,,,23.07.2015,20.01.2010,1,4,2010,61
-479684,1,20.01.2010,06.11.2009,110000,0,,,,,,23.07.2015,20.01.2010,1,4,2010,61
-479685,1,20.01.2010,29.10.2009,190000,0,,,,,,23.07.2015,20.01.2010,1,4,2010,61
-479688,1,20.01.2010,06.11.2009,210000,1,,,,,,23.07.2015,20.01.2010,1,4,2010,61
-479712,1,21.01.2010,07.12.2009,122000,0,,,,,,23.07.2015,21.01.2010,1,4,2010,61
-476916,1,17.01.2010,28.10.2009,473,0,,,,,,23.07.2015,17.01.2010,1,4,2010,61
-479476,1,18.01.2010,30.12.2009,170000,0,,,,,,23.07.2015,18.01.2010,1,4,2010,61
-479480,1,18.01.2010,16.12.2009,335000,0,,,,,,23.07.2015,18.01.2010,1,4,2010,61
-478659,1,18.01.2010,03.12.2009,325000,0,,,,,,23.07.2015,18.01.2010,1,4,2010,61
-476712,1,17.01.2010,18.11.2009,55600,0,,,,,,23.07.2015,17.01.2010,1,4,2010,61
-474871,1,17.01.2010,09.11.2009,1450000,0,,,,,,23.07.2015,17.01.2010,1,4,2010,61
-474547,1,15.01.2010,06.01.2010,175000,0,,,,Branka Medić emšo 2909963168301 Miroslav Medić emšo 0606965320003,,23.07.2015,15.01.2010,1,4,2010,61
-474548,1,15.01.2010,08.01.2010,172067,0,,,,,,23.07.2015,15.01.2010,1,4,2010,61
-474552,1,15.01.2010,11.12.2009,90000,0,,,,,,23.07.2015,15.01.2010,1,4,2010,61
-474555,1,15.01.2010,12.01.2010,149000,1,,,,,,23.07.2015,15.01.2010,1,4,2010,61
-474556,1,15.01.2010,27.11.2009,237500,1,,,,"spoštovani za sam pravni posel smo izvedeli že po poteku zakonitega roka za posredovanje posla t.j. do 15.12.2009, ker nismo dobili podatkov s strani investitorja, da so speljali posel z našo stranko. Za omenjenega invetitorja ne posredujemo več nepremičnin.  Datum izdaje računa pa je bil 23.12.2009 torej takrat, ko smo izvedeli za pravni posel",,23.07.2015,15.01.2010,1,4,2010,61
-474558,1,15.01.2010,20.11.2009,176778.45,1,,,,,,23.07.2015,15.01.2010,1,4,2010,61
-474560,1,15.01.2010,24.12.2009,163540.19,1,,,,,,23.07.2015,15.01.2010,1,4,2010,61
-474142,1,04.01.2010,30.12.2009,209620,0,,,,,,23.07.2015,04.01.2010,1,4,2010,61
