ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
431815,1738,DRAVLJE,LJUBLJANA,113/4,5,,,1/1,,2,,,458966.22,105370.27,2020,61
431815,1738,DRAVLJE,LJUBLJANA,113/5,5,,,1/1,,25,,,458968.68,105369.39,2020,61
431815,1738,DRAVLJE,LJUBLJANA,113/2,5,,,1/1,,29,,,458970.7,105366.14,2020,61
442575,1756,ČRNUČE,LJUBLJANA,530/40,5,,,1/1,,582,,,463610.46,107949.12,2020,61
444640,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,1362/18,1,,,1/1,,31,,,460462.94,96343.15,2020,61
444640,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,1362/24,1,,,1/1,,237,,,460471.04,96322.7,2020,61
444640,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,1362/23,1,,,1/1,,32,,,460473.11,96330.46,2020,61
452708,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,77/70,5,,,80/953,,953,,,463291.13,99562.48,2020,61
452946,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,77/70,5,,,90/953,,953,,,463291.13,99562.48,2020,61
452947,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,77/70,5,,,107/953,,953,,,463291.13,99562.48,2020,61
453803,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,77/70,5,,,107/953,,953,,,463291.13,99562.48,2020,61
454025,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,77/70,5,,,105/953,,953,,,463291.13,99562.48,2020,61
476552,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,457/8,5,,,73/12000,,24,,,459969.07,99429.07,2020,61
476552,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,444/4,5,,,73/12000,,807,,,460015.42,99445.2,2020,61
476552,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,444/5,5,,,73/12000,,21,,,460005.84,99434.72,2020,61
476552,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,457/13,5,,,73/12000,,665,,,459943.61,99430.22,2020,61
476552,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,457/11,5,,,73/12000,,222,,,459939.32,99452.59,2020,61
