ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
499904,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,331,30,,,1,LJUBLJANA,ZIHERLOVA ULICA,8,,30,2,1981,1,,,33,1/1,,,,,,,,2 - Stanovanje,nadstropje,,33.2,29.1," bivalni prostor | klet | zaprta terasa, balkon, loža",,,461369.18,100209.27,2020,61
519845,1737,TABOR,LJUBLJANA,869,227,,,1,LJUBLJANA,TRUBARJEVA CESTA,14,,,14,1665,1,,,3,1/1,,,,,,,,57 - Drvarnica,,,2.8,2.8, kmetijski prostor,,,461923.38,101479.54,2020,61
481882,1740,SPODNJA ŠIŠKA,LJUBLJANA,3614,347,,,1,,,,,,3,2018,1,,1,16.1,1/1,,,,,,,,1242003 - Pokrito parkirišče,,,16.1,16.1, garažni parkirni prostor,,,461185.01,102613.07,2020,61
482671,1753,VIŽMARJE,LJUBLJANA,3248,103,,,1,LJUBLJANA,TACENSKA CESTA,125,E,103,2,2006,1,,,66,1/1,,,,,,,,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,pritličje,2,66.2,66.2, bivalni prostor,,,458257.78,108445.89,2020,61
512604,1737,TABOR,LJUBLJANA,1976,993,,,1,,,,,,15,2012,1,,1,6.27,1,,,,,,,,"34 - Shramba, sušilnica, pralnica",klet,,6.3,6.3," shramba, sušilnica, pralnica",,,462803.95,102308.84,2020,61
503964,1723,VIČ,LJUBLJANA,4802,213,,,1,,,,,,4,1970,1,,,11,1/1,,,,,,,,15 - Garaža,klet,,11.3,11.3, garaža,,,459701.66,100256.3,2020,61
482040,1727,POLJANSKO PREDMESTJE,LJUBLJANA,1066,295,,,1,,,,,,15,2008,1,,,6,1/1,,,,,,,,1274012 - Kurilnica,klet,,6.1,6.1, klet,,,462278.25,101376.73,2020,61
493409,2636,BEŽIGRAD,LJUBLJANA,3222,62,,,1,LJUBLJANA,SMOLETOVA ULICA,18,,31,14,1967,1,,,4,1/1,,,,,,,,33 - Klet,klet,,4,4, klet,,,461674.42,102548.64,2020,61
512536,1728,LJUBLJANA MESTO,LJUBLJANA,19,5,,,1,LJUBLJANA,ŠTUDENTOVSKA ULICA,3,,5,2,1560,1,,,48,1/2,,,,,,,,2 - Stanovanje,nadstropje,,48.1,41.9, bivalni prostor | klet,,,462067.62,101322.3,2020,61
482465,1739,ZGORNJA ŠIŠKA,LJUBLJANA,2145,1,,,1,LJUBLJANA,MAJDE ŠILČEVE ULICA,10,,,1,1905,1,,,144,1/1,,,,,,,,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,pritličje,7,144.2,112, bivalni prostor | garaža | klet,,,459612.02,103452.11,2020,61
