ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
520713,2,11.12.2020,26.10.2020,21156,0,,,,,,15.04.2025,11.12.2020,1,2,2020,61
491436,3,11.04.2020,29.11.2019,125000,0,,,,,,15.04.2025,11.04.2020,1,3,2020,61
476756,1,10.01.2020,24.10.2019,91818.18,0,,,,,,15.04.2025,10.01.2020,1,1,2020,61
486902,1,10.03.2020,28.01.2020,140000,0,,,,,,15.04.2025,10.03.2020,1,1,2020,61
480839,1,11.02.2020,04.12.2019,405000,0,,,,,,15.04.2025,11.02.2020,1,2,2020,61
514229,1,10.11.2020,25.09.2020,110000,0,,,,,,15.04.2025,10.11.2020,1,2,2020,61
507026,1,10.09.2020,28.07.2020,613.62,0,,,,,,15.04.2025,10.09.2020,1,3,2020,61
488897,3,11.03.2020,28.11.2019,42000,0,,,,,,15.04.2025,11.03.2020,1,3,2020,61
487107,1,10.03.2020,30.01.2020,370000,0,,,,,,15.04.2025,10.03.2020,1,2,2020,61
487996,1,11.03.2020,29.01.2020,195000,0,,,,,,15.04.2025,11.03.2020,1,1,2020,61
493427,1,10.05.2020,31.03.2020,142000,0,,,,,,15.04.2025,10.05.2020,1,2,2020,61
487876,1,11.03.2020,30.01.2020,239.67,0,,,,,,15.04.2025,11.03.2020,1,3,2020,61
480980,1,10.02.2020,16.12.2019,9500,0,,,,,,15.04.2025,10.02.2020,1,1,2020,61
518221,1,10.12.2020,21.10.2020,87500,0,,,,,,15.04.2025,10.12.2020,1,2,2020,61
509733,1,10.10.2020,13.08.2020,128000,0,,,,,,15.04.2025,10.10.2020,1,2,2020,61
517930,1,10.12.2020,01.10.2020,364000,0,,,,,,15.04.2025,10.12.2020,1,2,2020,61
490100,1,10.04.2020,20.02.2020,241000,0,,,,,,15.04.2025,10.04.2020,1,2,2020,61
512169,1,11.10.2020,28.08.2020,43000,0,,,,,,15.04.2025,11.10.2020,1,2,2020,61
516307,1,11.11.2020,19.10.2020,150000,0,,,,,,15.04.2025,11.11.2020,1,2,2020,61
482985,1,11.02.2020,16.01.2020,155000,0,,,,,,15.04.2025,11.02.2020,1,1,2020,61
482148,1,10.02.2020,17.12.2019,504400,0,,,,,,15.04.2025,10.02.2020,1,3,2020,61
483892,1,13.02.2020,20.11.2018,238362.81,1,3,,,,,15.04.2025,13.02.2020,1,2,2020,61
481190,1,10.02.2020,20.12.2019,187500,0,,,,,,15.04.2025,10.02.2020,1,1,2020,61
503587,1,11.08.2020,17.06.2020,56040,0,,,,,,15.04.2025,11.08.2020,1,2,2020,61
476552,1,10.01.2020,04.10.2019,11315,0,,,,,,15.04.2025,10.01.2020,1,3,2020,61
520549,1,11.12.2020,05.11.2020,9315274.24,0,,,,,,15.04.2025,11.12.2020,1,3,2020,61
516803,4,11.11.2020,16.09.2020,18000,0,,,,,,11.11.2020,11.11.2020,1,4,2020,61
478785,1,11.01.2020,09.12.2019,105000,0,,,,,,15.04.2025,11.01.2020,1,1,2020,61
503265,1,11.08.2020,20.07.2020,78000,0,,,,,,15.04.2025,11.08.2020,1,2,2020,61
498506,1,20.07.2020,22.05.2020,103000,0,,,,,,15.04.2025,20.07.2020,1,2,2020,61
516313,1,11.11.2020,15.10.2020,199900,0,,,,,,15.04.2025,11.11.2020,1,2,2020,61
481199,1,10.02.2020,18.12.2019,349349,0,,,,,,15.04.2025,10.02.2020,1,2,2020,61
489201,1,19.03.2020,16.12.2019,380000,1,3,,,,,15.04.2025,19.03.2020,1,1,2020,61
492937,1,10.05.2020,23.03.2020,145000,0,,,,,,15.04.2025,10.05.2020,1,2,2020,61
509243,1,01.10.2020,28.09.2020,280875,1,3,,,,,15.04.2025,01.10.2020,1,2,2020,61
504030,1,11.08.2020,16.07.2020,129000,0,,,,,,15.04.2025,11.08.2020,1,2,2020,61
496602,1,10.06.2020,18.05.2020,430000,0,,,,,,15.04.2025,10.06.2020,1,2,2020,61
516037,1,11.11.2020,15.10.2020,150000,0,,,,,,15.04.2025,11.11.2020,1,2,2020,61
500845,1,29.07.2020,11.04.2018,230000,1,3,,,,,15.04.2025,29.07.2020,1,2,2020,61
491531,1,11.04.2020,05.03.2020,127000,0,,,,,,15.04.2025,11.04.2020,1,2,2020,61
479038,1,11.01.2020,11.12.2019,13000,0,,,,,,15.04.2025,11.01.2020,1,1,2020,61
507919,4,11.09.2020,02.08.2020,50000,0,,,,,,11.09.2020,11.09.2020,1,4,2020,61
499600,1,20.07.2020,04.06.2020,20000,0,,,,,,15.04.2025,20.07.2020,1,4,2020,61
498344,1,20.07.2020,22.04.2020,12000,0,,,,,,15.04.2025,20.07.2020,1,2,2020,61
507183,1,10.09.2020,05.08.2020,150000,0,,,,,,15.04.2025,10.09.2020,1,2,2020,61
