ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
608518,1772,SLAPE,LJUBLJANA,608/12,6,,,1/1,,17,,,467355.06,102197.97,2022,61
611362,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1412,6,,,1/1,,13,,,463177.23,98741.93,2022,61
611414,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1413,6,,,1/1,,13,,,463175.42,98739.71,2022,61
625762,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1414,6,,,1/1,,13,,,463174.41,98737.98,2022,61
625762,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1335,6,,,1/1,,12,,,463170.36,98749.05,2022,61
625786,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1336,6,,,1/1,,13,,,463168.43,98747.12,2022,61
625786,1695,KARLOVŠKO PREDMESTJE,ŠKOFLJICA,350/1445,6,,,1/1,,8345,,,463549.44,98444.1,2022,61
627669,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1337,6,,,1/1,,13,,,463167.28,98745.46,2022,61
627671,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1416,6,,,1/1,,13,,,463171,98734.29,2022,61
627675,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1333,6,,,1/1,,13,,,463156.85,98749.87,2022,61
627678,1695,KARLOVŠKO PREDMESTJE,ŠKOFLJICA,350/1417,6,,,1/1,,14,,,463169.81,98731.67,2022,61
627680,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1345,6,,,1/1,,12,,,463149.99,98722.5,2022,61
627680,1695,KARLOVŠKO PREDMESTJE,ŠKOFLJICA,350/1342,6,,,1/1,,14,,,463138.04,98725.35,2022,61
627682,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1421,6,,,1/1,,13,,,463162.88,98722.84,2022,61
627684,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1442,6,,,1/1,,14,,,463161.86,98720.98,2022,61
627711,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1420,6,,,1/1,,14,,,463164.44,98725.13,2022,61
627712,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1338,6,,,1/1,,12,,,463165.54,98743.07,2022,61
627712,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1339,6,,,1/1,,12,,,463164.16,98741.28,2022,61
627713,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1340,6,,,1/1,,13,,,463141.16,98729.3,2022,61
630967,1695,KARLOVŠKO PREDMESTJE,ŠKOFLJICA,350/1341,6,,,1/1,,13,,,463139.78,98727.28,2022,61
630973,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1349,6,,,1/1,,12,,,463143.83,98714.97,2022,61
630973,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1348,6,,,1/1,,12,,,463145.67,98716.71,2022,61
630991,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1347,6,,,1/1,,13,,,463147.14,98718.28,2022,61
630991,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1346,6,,,1/1,,12,,,463148.15,98720.85,2022,61
630993,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1343,6,,,1/1,,13,,,463136.38,98723.33,2022,61
630993,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1344,6,,,1/1,,13,,,463134.64,98721.22,2022,61
631264,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1418,6,,,1/1,,13,,,463167.74,98729.51,2022,61
631304,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1353,6,,,1/1,,13,,,463115.75,98697.23,2022,61
631304,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1354,6,,,1/1,,13,,,463114.74,98694.84,2022,61
631307,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1357,6,,,1/1,,13,,,463126.46,98691.99,2022,61
631307,1695,KARLOVŠKO PREDMESTJE,ŠKOFLJICA,350/1356,6,,,1/1,,12,,,463127.75,98693.83,2022,61
631308,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1359,6,,,1/1,,12,,,463123.15,98688.04,2022,61
631308,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,350/1358,6,,,1/1,,12,,,463125.08,98689.83,2022,61
631826,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,384/260,5,,,1/1,,270,,,463330.14,98813.77,2022,61
631827,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,384/262,5,,,1/1,,278,,,463308.2,98793.78,2022,61
631828,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,384/261,5,,,1/1,,195,,,463319.53,98799.14,2022,61
631877,1740,SPODNJA ŠIŠKA,LJUBLJANA,309/72,3,,,1/1,,1661,,,461010.41,103966.51,2022,61
631877,1740,SPODNJA ŠIŠKA,LJUBLJANA,309/73,3,,,1/2,,130,,,461023.01,103951.07,2022,61
632035,1737,TABOR,LJUBLJANA,2696/2,5,,,1/1,,13,,,462004.92,101485.69,2022,61
632062,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,182/6,5,,,1/1,,339,,,462693.05,99625.75,2022,61
632062,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,182/20,4,,,1/1,,38,,,462681.22,99609.94,2022,61
632062,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,182/19,4,,,1/1,,31,,,462698.54,99623.56,2022,61
632062,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,181/5,4,,,1/1,,79,,,462683.28,99624.46,2022,61
632063,2636,BEŽIGRAD,LJUBLJANA,952/4,5,,,1/1,,73,,,461879.12,103143.15,2022,61
632063,2636,BEŽIGRAD,LJUBLJANA,952/5,5,,,1/1,,31,,,461869.32,103159.42,2022,61
632063,2636,BEŽIGRAD,LJUBLJANA,952/2,5,,,1/1,,172,,,461881.19,103162.66,2022,61
632092,1723,VIČ,LJUBLJANA,871/2,5,,,289/10000,,733,,,459486.27,100429.39,2022,61
632100,1730,MOSTE,LJUBLJANA,921/11,3,,,1099/10000,,198,,,464066.56,102102.18,2022,61
632104,1723,VIČ,LJUBLJANA,2260/11,3,,,1/1,,125,,,458457.95,97918.63,2022,61
632104,1723,VIČ,LJUBLJANA,2260/23,3,,,1/1,,75,,,458455.37,97902.14,2022,61
632104,1723,VIČ,LJUBLJANA,2260/24,3,,,1/1,,365,,,458465.6,97910.27,2022,61
