ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
664775,1,10.09.2022,25.07.2022,80000,0,,,,,,15.04.2025,10.09.2022,1,2,2022,61
634790,1,11.01.2022,20.11.2021,14250,0,,,,,,15.04.2025,11.01.2022,1,2,2022,61
661997,1,10.08.2022,30.06.2022,1000,0,,,,,,15.04.2025,10.08.2022,1,2,2022,61
642179,1,11.03.2022,24.01.2022,18000,0,,,,,,15.04.2025,11.03.2022,1,2,2022,61
641051,1,10.03.2022,25.01.2022,17500,0,,,,,,15.04.2025,10.03.2022,1,2,2022,61
653904,1,10.06.2022,10.05.2022,25000,0,,,,,,15.04.2025,10.06.2022,1,2,2022,61
627710,1,03.12.2021,12.02.2021,248000,1,3,,,,,15.04.2025,17.03.2022,1,2,2022,61
677275,1,10.12.2022,12.11.2022,130000,0,,,,,,15.04.2025,10.12.2022,1,2,2022,61
638723,1,10.02.2022,13.01.2022,300000,0,,,,,,15.04.2025,10.02.2022,1,2,2022,61
657550,1,10.07.2022,31.05.2022,200000,0,,,,,,15.04.2025,10.07.2022,1,2,2022,61
672082,1,10.11.2022,07.09.2022,10000,0,,,,,,15.04.2025,10.11.2022,1,2,2022,61
633500,1,10.01.2022,16.12.2021,190000,0,,,,,,15.04.2025,10.01.2022,1,2,2022,61
654510,3,10.06.2022,31.03.2022,67000,0,,,,,,15.04.2025,10.06.2022,1,3,2022,61
671800,1,10.11.2022,07.09.2022,160000,0,,,,,,15.04.2025,10.11.2022,1,2,2022,61
638775,1,10.02.2022,12.01.2022,369000,0,,,,,,15.04.2025,10.02.2022,1,2,2022,61
653417,1,10.06.2022,15.02.2022,275000,0,,,,,,15.04.2025,10.06.2022,1,4,2022,61
678047,1,11.12.2022,22.11.2022,140000,0,,,,,,15.04.2025,11.12.2022,1,2,2022,61
632338,1,10.01.2022,19.11.2021,80000,0,,,,,,15.04.2025,10.01.2022,1,2,2022,61
633700,1,10.01.2022,24.12.2021,70000,0,,,,,,15.04.2025,10.01.2022,1,3,2022,61
663086,1,11.08.2022,23.06.2022,189000,0,,,,,,15.04.2025,11.08.2022,1,2,2022,61
656751,4,10.07.2022,16.05.2022,140000,0,,,,,,02.06.2023,10.07.2022,1,4,2022,61
637959,1,10.02.2022,03.01.2022,35000,0,,,,,,15.04.2025,10.02.2022,1,2,2022,61
666670,1,11.09.2022,14.07.2022,30000,0,,,,,,15.04.2025,11.09.2022,1,2,2022,61
660548,1,25.07.2022,11.04.2019,83700,1,3,,,,,15.04.2025,25.07.2022,1,3,2022,61
634290,1,10.01.2022,06.12.2021,110000,0,,,,,,15.04.2025,10.01.2022,1,2,2022,61
654048,1,10.06.2022,10.05.2022,60000,0,,,,,,15.04.2025,10.06.2022,1,4,2022,61
658900,1,11.07.2022,02.06.2022,385000,0,,,,,,15.04.2025,11.07.2022,1,2,2022,61
664277,1,10.09.2022,11.07.2022,230000,0,,,,,,15.04.2025,10.09.2022,1,4,2022,61
665554,1,10.09.2022,05.08.2022,120000,0,,,,,,15.04.2025,10.09.2022,1,2,2022,61
641567,1,10.03.2022,31.01.2022,15500,0,,,,,,15.04.2025,10.03.2022,1,2,2022,61
645447,1,10.04.2022,16.02.2022,145000,0,,,,,,15.04.2025,10.04.2022,1,2,2022,61
641776,1,10.03.2022,20.01.2022,40000,0,,,,,,15.04.2025,10.03.2022,1,3,2022,61
636793,1,10.02.2022,09.12.2021,90000,0,,,,,,15.04.2025,10.02.2022,1,3,2022,61
665099,1,10.09.2022,01.08.2022,195000,0,,,,,,15.04.2025,10.09.2022,1,2,2022,61
677858,1,11.12.2022,10.11.2022,15000,0,,,,,,15.04.2025,11.12.2022,1,2,2022,61
670046,1,10.10.2022,29.08.2022,15074,0,,,,,,15.04.2025,10.10.2022,1,1,2022,61
648505,1,10.05.2022,18.03.2022,205000,0,,,,,,15.04.2025,10.05.2022,1,2,2022,61
640334,1,10.03.2022,20.12.2021,90000,0,,,,,,15.04.2025,10.03.2022,1,5,2022,61
647810,1,12.04.2022,22.10.2020,275000,1,3,,,,,15.04.2025,12.04.2022,1,2,2022,61
674766,1,21.11.2022,07.04.2021,186147.56,1,3,,,,,15.04.2025,21.11.2022,1,2,2022,61
641047,1,10.03.2022,18.06.2021,600,0,,,,,,15.04.2025,10.03.2022,1,5,2022,61
669561,1,10.10.2022,17.08.2022,2040,0,,,,,,15.04.2025,10.10.2022,1,2,2022,61
652976,1,10.06.2022,25.04.2022,2800,0,,,,,,15.04.2025,10.06.2022,1,3,2022,61
669565,1,10.10.2022,23.08.2022,11500,0,,,,,,15.04.2025,10.10.2022,1,1,2022,61
649053,1,10.05.2022,28.03.2022,265000,0,,,,,,15.04.2025,10.05.2022,1,2,2022,61
668961,1,10.10.2022,31.08.2022,203000,0,,,,,,15.04.2025,10.10.2022,1,2,2022,61
675741,1,10.12.2022,19.10.2022,500000,0,,,,,,15.04.2025,10.12.2022,1,2,2022,61
647470,1,11.04.2022,22.03.2022,200000,0,,,,,,15.04.2025,11.04.2022,1,2,2022,61
641421,1,10.03.2022,31.01.2022,19500,0,,,,,,15.04.2025,10.03.2022,1,5,2022,61
653859,1,10.06.2022,06.05.2022,232000,0,,,,,,15.04.2025,10.06.2022,1,2,2022,61
670050,1,10.10.2022,07.09.2022,230000,0,,,,,,15.04.2025,10.10.2022,1,2,2022,61
649816,1,10.05.2022,30.03.2022,80000,0,,,,,,15.04.2025,10.05.2022,1,3,2022,61
644176,1,08.04.2022,18.02.2021,298000,1,3,,,,,15.04.2025,08.04.2022,1,4,2022,61
649223,1,10.05.2022,01.04.2022,300000,0,,,,,,15.04.2025,10.05.2022,1,2,2022,61
632620,1,10.01.2022,29.11.2021,215000,0,,,,,,15.04.2025,10.01.2022,1,2,2022,61
652382,3,10.06.2022,30.03.2022,5326.1,0,,,,,,15.04.2025,10.06.2022,1,3,2022,61
659392,1,11.07.2022,02.06.2022,30000,0,,,,,,15.04.2025,11.07.2022,1,3,2022,61
634761,1,11.01.2022,16.11.2021,5500,0,,,,,,15.04.2025,11.01.2022,1,3,2022,61
634658,1,11.01.2022,19.10.2021,331000,0,,,,,,15.04.2025,11.01.2022,1,2,2022,61
673344,1,10.11.2022,06.10.2022,179000,0,,,,,,15.04.2025,10.11.2022,1,2,2022,61
676840,1,10.12.2022,04.11.2022,95000,0,,,,,,15.04.2025,10.12.2022,1,2,2022,61
669245,1,10.10.2022,03.09.2022,275000,0,,,,,,15.04.2025,10.10.2022,1,2,2022,61
