ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-657595,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1765/4,5,,,1/1,,5432,,,,,2013,61
-657595,1754,ŠENTVID NAD LJUBLJANO,LJUBLJANA,1771/1,9,,,1/1,,1952,,,,,2013,61
-657583,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,414/28,5,,,1/2,,385,,,,,2013,61
-657583,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,414/77,5,,,1/1,,17,,,,,2013,61
-657583,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,414/28,5,,,1/2,Gospodarsko poslopje.,385,,,,,2013,61
-657582,1750,ŠMARTNO POD ŠMARNO GORO,LJUBLJANA,69/4,1,,,1/1,,161,,,,,2013,61
-657582,1750,ŠMARTNO POD ŠMARNO GORO,LJUBLJANA,69/3,1,,,1/1,,314,,,,,2013,61
-657581,1753,VIŽMARJE,LJUBLJANA,591/10,10,,,1/1,"Parcela 591/10 po podatkih v zemljiškem katastru v naravi predstavlja cesto v izmeri 3m2, parcela 591/12 pa sadovnjak v izmeri 48 m2.",3,,,,,2013,61
-657581,1753,VIŽMARJE,LJUBLJANA,591/12,10,,,1/1,"Parcela 591/10 po podatkih v zemljiškem katastru v naravi predstavlja cesto v izmeri 3m2, parcela 591/12 pa sadovnjak v izmeri 48 m2.",48,,,,,2013,61
-657581,1753,VIŽMARJE,LJUBLJANA,591/7,5,,,1/1,,300,,,,,2013,61
-657194,1751,TACEN,LJUBLJANA,143/9,3,,,1/1,,1222,,,,,2013,61
-657194,1751,TACEN,LJUBLJANA,143/34,3,,,1/1,,735,,,,,2013,61
-656816,1723,VIČ,LJUBLJANA,192/2,5,,,1/1,VRTNA UTA,89,,,,,2013,61
-656794,1756,ČRNUČE,LJUBLJANA,506/3,5,,,1/1,,264,,,,,2013,61
-654474,1735,STOŽICE,LJUBLJANA,2372/33,3,,,1/1,,264,,,,,2013,61
-654474,1735,STOŽICE,LJUBLJANA,2372/31,3,,,1/1,,524,,,,,2013,61
-654226,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,404/3,5,,,1/3,,653,,,462323.46,99440.97,2013,61
-654226,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,404/3,5,,,1/3,,653,,,462323.46,99440.97,2013,61
