ID_POSLA,SIFRA_KO,IME_KO,OBCINA,STEVILKA_STAVBE,STEVILKA_DELA_STAVBE,PARCELNA_STEVILKA_ZA_GEOLOKACIJO,INTERNA_OZNAKA_DELA_STAVBE,EVIDENTIRANOST_DELA_STAVBE,NASELJE,ULICA,HISNA_STEVILKA,DODATEK_HS,STEVILKA_STANOVANJA_ALI_POSLOVNEGA_PROSTORA,VRSTA_DELA_STAVBE,LETO_IZGRADNJE_DELA_STAVBE,STAVBA_JE_DOKONCANA,GRADBENA_FAZA,NOVOGRADNJA,PRODANA_POVRSINA,PRODANI_DELEZ_DELA_STAVBE,PRODANA_POVRSINA_DELA_STAVBE,PRODANA_UPORABNA_POVRSINA_DELA_STAVBE,NADSTROPJE_DELA_STAVBE,STEVILO_ZUNANJIH_PARKIRNIH_MEST,ATRIJ,POVRSINA_ATRIJA,OPOMBE_O_NEPREMICNINI,DEJANSKA_RABA_DELA_STAVBE,LEGA_DELA_STAVBE_V_STAVBI,STEVILO_SOB,POVRSINA_DELA_STAVBE,UPORABNA_POVRSINA,PROSTORI_DELA_STAVBE,POGODBENA_CENA_DELA_STAVBE,STOPNJA_DDV_DELA_STAVBE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
901070,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,7644,28,,,1,ČRNA VAS,ČRNA VAS,141,,28,2,2024,1,,1,44.2,1,,,,,0,,,2 - stanovanje,nadstropje,,43.6,38.6," bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica",,,460997.2,96508.19,2025,61
905434,1728,LJUBLJANA MESTO,LJUBLJANA,266,17,,,1,,,,,,14,1757,1,,,1.9,1/1,,,,,0,,,"34 - shramba, sušilnica, pralnica",nadstropje,,1.9,1.9," shramba, sušilnica, pralnica",,,461688.06,100878.73,2025,61
898059,1739,ZGORNJA ŠIŠKA,LJUBLJANA,6998,29,,,1,,,,,,14,2022,1,,1,5.4,1/1,,,,,0,,,33 - klet,klet,,5.4,5.4, klet,,,459571.67,103654.22,2025,61
901114,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,1689,1307,,P24,2,,,,,,3,2024,1,,1,,1,12.5,,,,,,,,,,,,-,,,461071.67,99589.4,2025,61
898356,2636,BEŽIGRAD,LJUBLJANA,1874,1,,,1,,,,,,14,1972,1,,,252,40/100,,,,,0,,,21 - skladišče,pritličje,,252,252, proizvodni in skladiščni prostor,,,462857.22,103209.74,2025,61
900633,1737,TABOR,LJUBLJANA,525,27,,,1,LJUBLJANA,VRHOVČEVA ULICA,7,,,14,1959,1,,,22.6,1/1,,,,,0,,,"34 - shramba, sušilnica, pralnica",nadstropje,,22.6,22.6," shramba, sušilnica, pralnica",,,462690.63,101692.83,2025,61
900954,1721,GRADIŠČE I,LJUBLJANA,427,132,,,1,,,,,,3,2022,1,,1,13,1/1,,,,,0,,,16 - garažno parkirno mesto,klet,,13,13, garažni parkirni prostor,,,461492.28,101139.12,2025,61
905612,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,5168,25,,,1,LJUBLJANA,OPEKARSKA CESTA,31,,25,3,2005,1,,,12.5,1/1,,,,,0,,,16 - garažno parkirno mesto,pritličje,,12.5,12.5, garažni parkirni prostor,,,461694.21,99847.71,2025,61
896857,1736,BRINJE I,LJUBLJANA,849,324,,,1,LJUBLJANA,TREBINJSKA ULICA,4,,324,2,1976,1,,,59.8,1/1,,,,,0,,,2 - stanovanje,nadstropje,,59.8,53.5," bivalni prostor | klet | odprta terasa, balkon, loža",,,462772.8,104444.54,2025,61
903011,1732,ŠTEPANJA VAS,LJUBLJANA,1294,34,,,1,LJUBLJANA,JAKČEVA ULICA,36,,1,2,1975,1,,,41.2,1/1,,,,,0,,,2 - stanovanje,pritličje,,41.2,35, bivalni prostor | klet,,,464849.87,101557.6,2025,61
