ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
831504,2636,BEŽIGRAD,LJUBLJANA,789/8,5,,,1/1,,129,,,461409.36,103310.95,2025,61
831504,2636,BEŽIGRAD,LJUBLJANA,789/3,5,,,1/1,,659,,,461383.83,103284.4,2025,61
831504,2636,BEŽIGRAD,LJUBLJANA,789/4,5,,,1/1,,463,,,461391.87,103313.91,2025,61
831504,2636,BEŽIGRAD,LJUBLJANA,789/5,5,,,1/1,,208,,,461397.55,103285.57,2025,61
831504,2636,BEŽIGRAD,LJUBLJANA,789/6,5,,,1/1,,102,,,461405.71,103292.73,2025,61
831504,2636,BEŽIGRAD,LJUBLJANA,789/7,5,,,1/1,,173,,,461404.02,103309.48,2025,61
831504,2636,BEŽIGRAD,LJUBLJANA,789/9,5,,,1/1,,5,,,461409,103296.78,2025,61
831504,2636,BEŽIGRAD,LJUBLJANA,789/10,5,,,1/1,,4,,,461410.92,103304.63,2025,61
831504,2636,BEŽIGRAD,LJUBLJANA,789/11,5,,,1/1,,11,,,461414.78,103319.86,2025,61
891840,1770,KAŠELJ,LJUBLJANA,134/16,5,,,1/8,,192,,,470360.66,102762.32,2025,61
891840,1770,KAŠELJ,LJUBLJANA,134/12,5,,,21/50,,319,,,470373.55,102773.35,2025,61
892092,1746,RAŠICA,LJUBLJANA,7/6,1,,,1/1,,294,,,462193.39,110758.62,2025,61
892092,1746,RAŠICA,LJUBLJANA,7/19,1,,,1/1,,12,,,462206.46,110771.9,2025,61
892092,1746,RAŠICA,LJUBLJANA,7/20,1,,,1/6,,335,,,462181.75,110771.71,2025,61
892095,1746,RAŠICA,LJUBLJANA,7/46,1,,,1/1,,243,,,462188.52,110778.29,2025,61
892095,1746,RAŠICA,LJUBLJANA,7/17,1,,,1/1,,25,,,462201.09,110775.09,2025,61
892095,1746,RAŠICA,LJUBLJANA,7/18,1,,,1/1,,12,,,462204.31,110773.18,2025,61
892095,1746,RAŠICA,LJUBLJANA,7/20,1,,,1/6,,335,,,462181.75,110771.71,2025,61
