ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-575578,1756,ČRNUČE,LJUBLJANA,902/21,10,,,260/362,parc.št. 902/45 v naravi predstavlja del poslovne stavbe in del dvorišča. Parc.št. 902/21 v naravi predstavlja del ceste v izmeri 36m2(6 m pas pred poslovnim objektom) in preostali del parc.št. 902/20- dvorišče,72,,,,,2011,61
-575578,1756,ČRNUČE,LJUBLJANA,902/45,10,,,260/362,parc.št. 902/45 v naravi predstavlja del poslovne stavbe in del dvorišča. Parc.št. 902/21 v naravi predstavlja del ceste v izmeri 36m2(6 m pas pred poslovnim objektom) in preostali del parc.št. 902/20- dvorišče,407,,,,,2011,61
-575578,1756,ČRNUČE,LJUBLJANA,902/20,10,,,260/362,parc.št. 902/45 v naravi predstavlja del poslovne stavbe in del dvorišča. Parc.št. 902/21 v naravi predstavlja del ceste v izmeri 36m2(6 m pas pred poslovnim objektom) in preostali del parc.št. 902/20- dvorišče,138,,,,,2011,61
-575394,1723,VIČ,LJUBLJANA,954/0,5,,,1/1,,,,,,,2011,61
-575394,1723,VIČ,LJUBLJANA,953,5,,,1/1,,105,,,,,2011,61
-575393,1753,VIŽMARJE,LJUBLJANA,194/30,5,,,1/1,,251,,,,,2011,61
-575369,1736,BRINJE I,LJUBLJANA,124,5,,,1/1,,354,,,,,2011,61
-575361,1739,ZGORNJA ŠIŠKA,LJUBLJANA,505/65,5,,,1/1,,1491,,,,,2011,61
-575295,1732,ŠTEPANJA VAS,LJUBLJANA,45/17,5,,,1/1,,100,,,,,2011,61
-575138,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1104/23,3,,,1/1,,143,,,,,2011,61
-575138,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1087/8,3,,,1/1,,341,,,,,2011,61
-575138,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1104/1,3,,,1/1,,1272,,,,,2011,61
-575115,1778,VOLAVLJE,LJUBLJANA,1053/5,3,,,1/1,,4626,,,,,2011,61
-575076,1772,SLAPE,LJUBLJANA,725/1,5,,,14/15,,896,,,,,2011,61
-574809,1776,LIPOGLAV,LJUBLJANA,2028/23,9,,,1/1,,768,,,474570.15,95174.75,2011,61
-574809,1776,LIPOGLAV,LJUBLJANA,2050/10,9,,,1/1,,349,,,474575.99,95243.77,2011,61
-574799,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,385/140,3,,,1/4,,248,,,463150.3,98852.52,2011,61
