ID_POSLA,VRSTA_KUPOPRODAJNEGA_POSLA,DATUM_UVELJAVITVE,DATUM_SKLENITVE_POGODBE,POGODBENA_CENA_ODSKODNINA,VKLJUCENOST_DDV,STOPNJA_DDV,DATUM_IZTEKA_LIZINGA,DATUM_PRENEHANJA_LIZINGA,OPOMBE_O_PRAVNEM_POSLU,POSREDOVANJE_NEPREMICNINSKE_AGENCIJE,DATUM_ZADNJE_SPREMEMBE_POSLA,DATUM_ZADNJE_UVELJAVITVE_POSLA,VRSTA_AKTA,TRZNOST_POSLA,LETO,RPE_OBCINE_SIFRA
-503697,1,23.09.2011,17.08.2010,127000,1,,,,,,23.07.2015,23.09.2011,1,4,2011,61
-514707,4,12.01.2011,12.06.2009,40000,1,,,,,,23.07.2015,12.01.2011,1,4,2011,61
-528168,1,09.03.2011,04.02.2011,142000,0,,,,,,23.07.2015,09.03.2011,1,4,2011,61
-528171,1,09.03.2011,17.02.2011,115900,0,,,,,,23.07.2015,09.03.2011,1,4,2011,61
-528174,1,09.03.2011,17.02.2011,11800,0,,,,,,23.07.2015,09.03.2011,1,4,2011,61
-528193,1,09.03.2011,14.01.2011,14400,1,,,,,,23.07.2015,09.03.2011,1,4,2011,61
-528194,1,09.03.2011,04.03.2011,14400,1,,,,,,23.07.2015,09.03.2011,1,4,2011,61
-528195,1,09.03.2011,04.03.2011,14400,1,,,,,,23.07.2015,09.03.2011,1,4,2011,61
-521426,1,21.01.2011,03.04.2010,116000,0,,,,,,23.07.2015,21.01.2011,1,4,2011,61
-519326,1,05.01.2011,22.09.2010,114000,0,,,,,,23.07.2015,05.01.2011,1,4,2011,61
-519413,1,06.01.2011,27.10.2010,379255,0,,,,,,23.07.2015,06.01.2011,1,4,2011,61
-519417,1,06.01.2011,09.11.2010,14400,1,,,,,,23.07.2015,06.01.2011,1,4,2011,61
-519419,1,06.01.2011,19.10.2010,83000,0,,,,,,23.07.2015,06.01.2011,1,4,2011,61
-519441,1,06.01.2011,15.12.2010,225000,0,,,,,,23.07.2015,06.01.2011,1,4,2011,61
-519447,1,06.01.2011,18.11.2010,14400,1,,,,,,23.07.2015,06.01.2011,1,4,2011,61
-519448,1,06.01.2011,18.11.2010,14400,1,,,,,,23.07.2015,06.01.2011,1,4,2011,61
-522529,4,21.01.2011,19.11.2010,6850,0,,,,,,23.07.2015,21.01.2011,1,4,2011,61
-522530,1,21.01.2011,02.03.2010,57052,0,,,,,,17.12.2019,21.01.2011,1,4,2011,61
